id,name,lon,lat
NI.AN,Atlántico Norte,-84.22176,13.9932
NI.AS,Atlántico Sur,-84.22142,12.32471
NI.BO,Boaco,-85.51787,12.45534
NI.CA,Carazo,-86.24852,11.74275
NI.CI,Chinandega,-87.08864,12.84642
NI.CO,Chontales,-85.12942,12.09248
NI.ES,Estelí,-86.40446,13.16884
NI.GR,Granada,-85.97253,11.84835
NI.JI,Jinotega,-85.52309,13.73867
lake,Lago Nicaragua,-85.40339,11.51822
NI.LE,León,-86.63575,12.58552
NI.MD,Madriz,-86.47529,13.48491
NI.MN,Managua,-86.28619,12.22218
NI.MS,Masaya,-86.09613,11.99578
NI.MT,Matagalpa,-85.5145,12.93447
NI.NS,Nueva Segovia,-86.21745,13.74099
NI.SJ,Río San Juan,-84.48221,11.24162
NI.RI,Rivas,-85.82826,11.40247
