id,name,depto,lon,lat
1,Bonanza,Atlántico Norte,-84.62128,14.06484
2,Prinzapolka,Atlántico Norte,-84.00719,13.46456
3,Puerto Cabezas,Atlántico Norte,-83.53256,14.23494
4,Rosita,Atlántico Norte,-84.14818,14.02439
5,Siuna,Atlántico Norte,-84.86689,13.61128
6,Waslala,Atlántico Norte,-85.29338,13.36449
7,Waspán,Atlántico Norte,-84.22933,14.57551
8,Bluefields,Atlántico Sur,-83.96851,11.55839
9,Bocana de Paiwas,Atlántico Sur,-84.87423,12.79997
10,El Rama,Atlántico Sur,-84.41114,12.29344
11,Kukra Hill,Atlántico Sur,-83.92622,12.298
12,La Cruz de Río Grande,Atlántico Sur,-84.32539,12.88886
13,Laguna de Perlas,Atlántico Sur,-83.78126,12.77497
14,Muelle de los Bueyes,Atlántico Sur,-84.61402,12.11616
15,Nueva Guinea,Atlántico Sur,-84.35785,11.69082
16,Boaco,Boaco,-85.48155,12.55865
17,Camoapa,Boaco,-85.24933,12.49139
18,San José de los Remates,Boaco,-85.77133,12.57384
19,San Lorenzo,Boaco,-85.70318,12.21771
20,Santa Lucía,Boaco,-85.71118,12.4818
21,Teustepe,Boaco,-85.83193,12.39668
22,Diriamba,Carazo,-86.26861,11.72507
23,Dolores,Carazo,-86.23958,11.78069
24,El Rosario,Carazo,-86.15355,11.8351
25,Jinotepe,Carazo,-86.22367,11.71211
26,La Conquista,Carazo,-86.1863,11.71511
27,La Paz de Carazo,Carazo,-86.11225,11.82445
28,San Marcos,Carazo,-86.28039,11.89582
29,Chichigalpa,Chinandega,-87.03976,12.54278
30,Chinandega,Chinandega,-87.02386,12.71092
31,Cinco Pinos,Chinandega,-86.83795,13.21092
32,Corinto,Chinandega,-87.16547,12.49168
33,El Realejo,Chinandega,-87.19052,12.5631
34,El Viejo,Chinandega,-87.39956,12.81493
35,Posoltega,Chinandega,-86.95342,12.58688
36,Puerto Morazán,Chinandega,-87.23408,12.87059
37,San Francisco del Norte,Chinandega,-86.75932,13.19617
38,San Pedro del Norte,Chinandega,-86.86201,13.23164
39,Somotillo,Chinandega,-87.02231,12.97246
40,Villanueva,Chinandega,-86.79437,12.90323
41,Acoyapa,Chontales,-85.12962,11.83936
42,Comalapa,Chontales,-85.5555,12.14215
43,Juigalpa,Chontales,-85.38706,12.09576
44,La Libertad,Chontales,-85.13446,12.35362
45,San Pedro de Lóvago,Chontales,-85.11443,12.14183
46,Santo Domingo,Chontales,-84.95391,12.38105
47,Santo Tomás,Chontales,-84.96104,12.11795
48,Villa Sandino,Chontales,-84.82989,11.96966
49,Condega,Estelí,-86.3351,13.33873
50,Estelí,Estelí,-86.34574,13.13192
51,La Trinidad,Estelí,-86.21486,12.99611
52,Pueblo Nuevo,Estelí,-86.51735,13.3496
53,San Juan de Limay,Estelí,-86.59637,13.18494
54,San Nicolás,Estelí,-86.35097,12.91606
55,Diriá,Granada,-86.06064,11.85782
56,Diriomo,Granada,-86.02936,11.84548
57,Granada,Granada,-85.93491,11.96119
58,Nandaime,Granada,-86.00854,11.70774
59,El Cuá,Jinotega,-85.25494,13.91195
60,Jinotega,Jinotega,-85.90492,13.16475
61,La Concordia,Jinotega,-86.18114,13.16702
62,San Rafael del Norte,Jinotega,-86.07397,13.26671
63,San Sebastián de Yalí,Jinotega,-86.1624,13.33053
64,Santa María de Pantasma,Jinotega,-85.91533,13.39827
65,Wiwilí,Jinotega,-85.59315,13.8537
66,Lago de Nicaragua,Lago Nicaragua,-85.40339,11.51822
67,Achuapa,León,-86.59864,13.04655
68,El Jicaral,León,-86.37781,12.63204
69,El Sauce,León,-86.53814,12.89041
70,La Paz Centro,León,-86.60889,12.42517
71,Larreynaga-Malpaisillo,León,-86.60608,12.66274
72,León,León,-86.87774,12.3993
73,Nagarote,León,-86.64197,12.17964
74,Quezalguaque,León,-86.91927,12.54591
75,Santa Rosa del Peñón,León,-86.35612,12.81549
76,Telica,León,-86.80702,12.60003
77,Las Sabanas,Madriz,-86.65112,13.33552
78,Palacagüina,Madriz,-86.39853,13.45832
79,San José de Cusmapa,Madriz,-86.68412,13.26967
80,San Juan del Río Coco,Madriz,-86.1508,13.51924
81,San Lucas,Madriz,-86.64925,13.40487
82,Somoto,Madriz,-86.64681,13.53288
83,Telpaneca,Madriz,-86.27635,13.49916
84,Totogalpa,Madriz,-86.46653,13.55377
85,Yalagüina,Madriz,-86.48955,13.4779
86,Lago de Managua,Managua,-86.33662,12.31752
87,Managua,Managua,-86.30537,12.04729
88,Mateare,Managua,-86.42183,12.21301
89,San Francisco Libre,Managua,-86.22461,12.48511
90,San Rafael del Sur,Managua,-86.45833,11.84885
91,Ticuantepe,Managua,-86.21144,11.99653
92,Tipitapa,Managua,-86.01825,12.31831
93,Villa Carlos Fonseca,Managua,-86.52588,12.02555
94,Catarina,Masaya,-86.06748,11.91097
95,La Concepción,Masaya,-86.20504,11.95352
96,Masatepe,Masaya,-86.1459,11.90474
97,Masaya,Masaya,-86.05966,11.99915
98,Nandasmo,Masaya,-86.11346,11.90652
99,Nindirí,Masaya,-86.13759,12.04138
100,Niquinohomo,Masaya,-86.09117,11.86538
101,San Juan de Oriente,Masaya,-86.06517,11.89335
102,Tisma,Masaya,-86.01856,12.07516
103,Ciudad Darío,Matagalpa,-86.11251,12.68872
104,Esquipulas,Matagalpa,-85.75123,12.6731
105,Matagalpa,Matagalpa,-85.89603,12.90488
106,Matiguás,Matagalpa,-85.41786,12.86635
107,Muy Muy,Matagalpa,-85.58747,12.72944
108,Rancho Grande,Matagalpa,-85.49156,13.20081
109,Río Blanco,Matagalpa,-85.03206,13.06205
110,Sébaco,Matagalpa,-86.07638,12.89435
