id,name,lon,lat
NOR-900,Troms Fylke,19.62338,69.27602
NOR-75,Nordland Fylke,14.46997,66.97995
NOR-925,Nord-Trondelag Fylke,12.29542,64.28247
NOR-911,Sor-Trondelag Fylke,10.41536,63.13131
NOR-919,Hedmark fylke,11.42166,61.46872
NOR-917,Akershus fylke,11.21214,60.03993
NOR-924,Ostfold fylke,11.30338,59.38033
NOR-1062,Finnmark Fylke,25.88737,69.93836
NOR-921,Oslo County,10.65234,59.96926
NOR-918,Buskerud fylke,9.089231,60.31851
NOR-923,Vestfold fylke,10.11503,59.33785
NOR-922,Telemark fylke,8.529472,59.53643
NOR-912,Aust-Agder fylke,7.973523,58.89315
NOR-916,Vest-Agder Fylke,7.199644,58.49845
NOR-914,Rogaland Fylke,6.222803,59.1127
NOR-913,Hordaland Fylke,6.307531,60.34498
NOR-915,Sogn og Fjordane Fylke,6.57624,61.42492
NOR-910,More og Romsdal fylke,7.695551,62.60277
NOR-901,Svalbard,18.47974,78.86595
BVT+00?,Bouvetoya (general),3.413145,-54.41926
NOR-920,Oppland fylke,9.345343,61.43038
