id,name,lon,lat
NPL-1126,Karnali Zone,82.41323,29.47988
NPL-1128,Mahakali Zone,80.54816,29.41285
NPL-1129,Seti Zone,81.12509,29.26213
NPL-1125,Dhawalagiri Zone,83.58136,28.65309
NPL-1095,Gandaki Zone,84.32271,28.31391
NPL-1130,Bagmati Zone,85.40722,27.87229
NPL-1131,Janakpur Zone,85.99603,27.27136
NPL-1133,Sagarmatha Zone,86.65259,27.17131
NPL-1134,Kosi Zone,87.287,27.12186
NPL-1135,Mechi Zone,87.83461,27.1567
NPL-1124,Bheri Zone,81.73676,28.54892
NPL-373,Rapti Zone,82.54229,28.30593
NPL-1127,Lumbini Zone,83.43309,27.74454
NPL-1132,Narayani Zone,84.88764,27.34193
