id,name,lon,lat
NZL-5479,NA,166.1052,-50.73744
NZL-5478,NA,169.1703,-52.54037
NZL-5477,NA,178.7844,-49.67119
NZL-5470,Chatham Islands,-176.4876,-43.93485
NZL-5471,NA,-177.9049,-29.25297
NZL-5480,NA,166.6106,-48.02729
NZL-3408,Southland,167.9544,-45.73481
NZL-3401,Marlborough,173.545,-41.6841
NZL-3402,Nelson,173.3812,-41.25042
NZL-3403,Tasman,172.6493,-41.44533
NZL-3406,West Coast,170.9193,-42.77498
NZL-3407,Otago,169.5553,-45.28234
NZL-3400,Canterbury,171.5563,-43.57493
NZL-3398,Auckland,174.7583,-36.71365
NZL-5468,Waikato,175.5024,-38.03647
NZL-5476,NA,172.1366,-34.15532
NZL-5469,Wellington,175.4665,-41.10817
NZL-3334,Manawatu-Wanganui,175.6041,-39.79112
NZL-3405,Taranaki,174.4703,-39.30969
NZL-3404,Northland,173.8548,-35.50765
NZL-3399,Bay of Plenty,176.7741,-38.22492
NZL-3396,Gisborne,177.9624,-38.25166
NZL-3397,Hawke's Bay,176.841,-39.38324
