id,name,depto,lon,lat
1,Bocas del Toro,Bocas del Toro,-82.25023,9.216133
2,Changuinola,Bocas del Toro,-82.6402,9.229566
3,Chiriquí Grande,Bocas del Toro,-82.19114,8.972841
4,Alanje,Chiriquí,-82.61977,8.376955
5,Barú,Chiriquí,-82.88238,8.320548
6,Boquerón,Chiriquí,-82.57826,8.612256
7,Boquete,Chiriquí,-82.39968,8.751459
8,Bugaba,Chiriquí,-82.6823,8.649771
9,David,Chiriquí,-82.39177,8.42822
10,Dolega,Chiriquí,-82.46339,8.615418
11,Gualaca,Chiriquí,-82.22835,8.596506
12,Remedios,Chiriquí,-81.79015,8.221901
13,Renacimiento,Chiriquí,-82.79469,8.740997
14,San Félix,Chiriquí,-81.89607,8.252111
15,San Lorenzo,Chiriquí,-82.11454,8.306959
16,Tolé,Chiriquí,-81.64559,8.199788
17,Aguadulce,Coclé,-80.58814,8.201141
18,Antón,Coclé,-80.20154,8.441639
19,La Pintada,Coclé,-80.53342,8.707212
20,Natá,Coclé,-80.5852,8.396427
21,Olá,Coclé,-80.65988,8.496188
22,Penonomé,Coclé,-80.30913,8.665609
23,Chagres,Colón,-80.11693,9.127541
24,Colón,Colón,-79.80095,9.255705
25,Donoso,Colón,-80.51928,8.967066
26,Lago Gatún,Colón,-79.90674,9.177262
27,Portobelo,Colón,-79.64409,9.49506
28,Santa Isabel,Colón,-79.29869,9.502092
29,Chepigana,Darién,-78.07161,8.118947
30,Pinogana,Darién,-77.68574,8.245718
31,Cémaco,Emberá,-77.59796,8.419869
32,Sambú,Emberá,-78.12961,7.824748
33,Chitré,Herrera,-80.44522,7.971663
34,Las Minas,Herrera,-80.80199,7.712025
35,Los Pozos,Herrera,-80.67779,7.670757
36,Ocú,Herrera,-80.80663,7.911881
37,Parita,Herrera,-80.57261,8.018305
38,Pesé,Herrera,-80.6196,7.876713
39,Santa María,Herrera,-80.67332,8.083615
40,Kuna Yala,Kuna Yala,-78.31549,9.174796
41,Guararé,Los Santos,-80.35043,7.772411
42,Las Tablas,Los Santos,-80.30572,7.639485
43,Los Santos,Los Santos,-80.43433,7.859833
44,Macaracas,Los Santos,-80.54715,7.635934
45,Pedasí,Los Santos,-80.10708,7.50738
46,Pocrí,Los Santos,-80.15685,7.630438
47,Tonosí,Los Santos,-80.5043,7.405068
48,Ñürüm,Ngöbe Buglé,-81.41264,8.466831
49,Besiko,Ngöbe Buglé,-82.02578,8.531527
50,Kankintú,Ngöbe Buglé,-81.96987,8.789929
51,Kusapín,Ngöbe Buglé,-81.51902,8.775952
52,Müna,Ngöbe Buglé,-81.6249,8.442589
53,Mironó,Ngöbe Buglé,-81.86788,8.461165
54,Nole Duima,Ngöbe Buglé,-81.78348,8.411677
55,Arraiján,Panamá Oeste,-79.68404,8.98674
56,Capira,Panamá Oeste,-79.99424,8.796165
57,Chame,Panamá Oeste,-79.91348,8.620798
58,La Chorrera,Panamá Oeste,-79.8596,8.959888
59,Lago Gatún,Panamá Oeste,-79.88734,9.121026
60,San Carlos,Panamá Oeste,-80.02601,8.524539
61,Taboga,Panamá Oeste,-79.56494,8.729059
62,Balboa,Panamá,-78.95134,8.370669
63,Chepo,Panamá,-78.64527,9.103972
64,Chimán,Panamá,-78.64236,8.773308
65,Lago Alajuela,Panamá,-79.58039,9.250614
66,Lago Bayano,Panamá,-78.69674,9.135508
67,Panamá,Panamá,-79.42222,9.213485
68,San Miguelito,Panamá,-79.48412,9.059187
69,Atalaya,Veraguas,-80.88508,8.022164
70,Cañazas,Veraguas,-81.27456,8.372053
71,Calobre,Veraguas,-80.80733,8.355769
72,La Mesa,Veraguas,-81.20946,8.187331
73,Las Palmas,Veraguas,-81.507,8.080305
74,Montijo,Veraguas,-81.10413,7.493551
75,Río de Jesús,Veraguas,-81.13853,7.963572
76,San Francisco,Veraguas,-80.98026,8.31937
77,Santa Fe,Veraguas,-80.99248,8.65087
78,Santiago,Veraguas,-80.95058,8.038953
79,Soná,Veraguas,-81.33621,7.871664
