id,name,depto,lon,lat
1,Bagua,Amazonas,-78.40311,-5.077645
2,Bongará,Amazonas,-77.86634,-5.681545
3,Chachapoyas,Amazonas,-77.77429,-6.437545
4,Condorcanqui,Amazonas,-78.03257,-4.175919
5,Luya,Amazonas,-78.09616,-6.307565
6,Rodríguez de Mendoza,Amazonas,-77.44744,-6.376679
7,Utcubamba,Amazonas,-78.32146,-5.761191
8,Aija,Ancash,-77.67733,-9.784302
9,Antonio Raymondi,Ancash,-77.0533,-9.131925
10,Asunción,Ancash,-77.39875,-9.189848
11,Bolognesi,Ancash,-77.15052,-10.10655
12,Carhuaz,Ancash,-77.56893,-9.290576
13,Carlos Fermin Fitzcarrald,Ancash,-77.24234,-9.044206
14,Casma,Ancash,-78.18693,-9.485237
15,Corongo,Ancash,-77.88193,-8.567614
16,Huaraz,Ancash,-77.6462,-9.561183
17,Huari,Ancash,-77.0819,-9.433588
18,Huarmey,Ancash,-77.92749,-10.09421
19,Huaylas,Ancash,-77.82832,-8.943559
20,Mariscal Luzuriaga,Ancash,-77.34027,-8.870065
21,Ocros,Ancash,-77.43023,-10.48648
22,Pallasca,Ancash,-77.90131,-8.317115
23,Pomabamba,Ancash,-77.43562,-8.720575
24,Recuay,Ancash,-77.42613,-9.95086
25,Santa,Ancash,-78.2892,-8.969583
26,Sihuas,Ancash,-77.58516,-8.484292
27,Yungay,Ancash,-77.74284,-9.201335
28,Abancay,Apurímac,-72.8345,-13.7327
29,Andahuaylas,Apurímac,-73.39265,-13.82912
30,Antabamba,Apurímac,-72.7367,-14.43712
31,Aymaraes,Apurímac,-73.24775,-14.34102
32,Chincheros,Apurímac,-73.67021,-13.47144
33,Cotabambas,Apurímac,-72.26992,-14.01847
34,Grau,Apurímac,-72.62257,-14.06099
35,Arequipa,Arequipa,-71.59918,-16.33881
36,Camaná,Arequipa,-72.75014,-16.41668
37,Caravelí,Arequipa,-73.96396,-15.68884
38,Castilla,Arequipa,-72.31839,-15.65635
39,Caylloma,Arequipa,-71.58225,-15.5762
40,Condesuyos,Arequipa,-72.73088,-15.5972
41,Islay,Arequipa,-71.72157,-16.96113
42,La Unión,Arequipa,-72.8042,-15.06533
43,Cangallo,Ayacucho,-74.48694,-13.49946
44,Huamanga,Ayacucho,-74.23022,-13.27114
45,Huanca Sancos,Ayacucho,-74.46064,-13.94389
46,Huanta,Ayacucho,-74.17458,-12.5654
47,La Mar,Ayacucho,-73.72595,-13.04402
48,Lucanas,Ayacucho,-74.34597,-14.61604
49,Parinacochas,Ayacucho,-73.63485,-15.03179
50,Paucar del Sara Sara,Ayacucho,-73.26198,-15.12269
51,Sucre,Ayacucho,-73.73208,-14.1247
52,Victor Fajardo,Ayacucho,-74.24897,-13.78736
53,Vilcas Huamán,Ayacucho,-73.89905,-13.65421
54,Cajabamba,Cajamarca,-78.09893,-7.540308
55,Cajamarca,Cajamarca,-78.46855,-7.197759
56,Celendín,Cajamarca,-78.20414,-6.807293
57,Chota,Cajamarca,-78.86263,-6.437642
58,Contumazá,Cajamarca,-78.97953,-7.355617
59,Cutervo,Cajamarca,-78.83913,-6.173972
60,Hualgayoc,Cajamarca,-78.54578,-6.710106
61,Jaén,Cajamarca,-79.0023,-5.710921
62,San Ignacio,Cajamarca,-78.94942,-5.131153
63,San Marcos,Cajamarca,-78.05969,-7.282565
64,San Miguel,Cajamarca,-78.99776,-6.977651
65,San Pablo,Cajamarca,-78.74914,-7.074714
66,Santa Cruz,Cajamarca,-78.98249,-6.684077
67,Callao,Callao,-77.13604,-11.95461
68,Acomayo,Cusco,-71.65473,-13.95168
69,Anta,Cusco,-72.36705,-13.48913
70,Calca,Cusco,-72.03639,-12.98235
71,Canas,Cusco,-71.3438,-14.43941
72,Canchis,Cusco,-71.12653,-14.08285
73,Chumbivilcas,Cusco,-72.01134,-14.46383
74,Cusco,Cusco,-71.98149,-13.55134
75,Espinar,Cusco,-71.38068,-14.9044
76,La Convención,Cusco,-72.91524,-12.34962
77,Paruro,Cusco,-71.91621,-13.88432
78,Paucartambo,Cusco,-71.50572,-13.17042
79,Quispicanchi,Cusco,-71.01929,-13.49925
80,Urubamba,Cusco,-72.29255,-13.25724
81,Ambo,Huánuco,-76.23375,-10.22849
82,Dos de Mayo,Huánuco,-76.61074,-9.636773
83,Huacaybamba,Huánuco,-76.80293,-8.995454
84,Huamalíes,Huánuco,-76.6016,-9.383462
85,Huenuco,Huánuco,-76.18461,-9.765493
86,Lauricocha,Huánuco,-76.71095,-10.18261
87,Leoncio Prado,Huánuco,-76.0296,-9.058315
88,Marañón,Huánuco,-76.69178,-8.720389
89,Pachitea,Huánuco,-75.88896,-10.05048
90,Puerto Inca,Huánuco,-75.09178,-9.378252
91,Yarowilca,Huánuco,-76.60067,-9.79662
92,Acobamba,Huancavelica,-74.58298,-12.79234
93,Angaraes,Huancavelica,-74.62643,-13.0464
94,Castrovirreyna,Huancavelica,-75.40622,-13.14497
95,Churcampa,Huancavelica,-74.49356,-12.62829
96,Huancavelica,Huancavelica,-75.09095,-12.72333
97,Huaytara,Huancavelica,-75.09249,-13.65597
98,Tayacaja,Huancavelica,-74.76893,-12.2746
99,Chincha,Ica,-75.93965,-13.31776
100,Ica,Ica,-75.64596,-14.29971
101,Nazca,Ica,-75.07957,-14.94094
102,Palpa,Ica,-75.1743,-14.37058
103,Pisco,Ica,-75.94369,-13.80422
104,Chanchamayo,Junín,-75.13052,-11.02638
105,Chupaca,Junín,-75.43287,-12.20763
106,Concepción,Junín,-75.12984,-11.76524
107,Huancayo,Junín,-75.06592,-12.09419
108,Jauja,Junín,-75.48804,-11.68524
109,Junín,Junín,-75.93147,-11.03577
110,Satipo,Junín,-74.09643,-11.57324
111,Tarma,Junín,-75.68038,-11.28049
112,Yauli,Junín,-76.12254,-11.49716
113,Ascope,La Libertad,-79.15257,-7.724352
114,Bolívar,La Libertad,-77.73958,-7.277248
115,Chepén,La Libertad,-79.45738,-7.14375
116,Gran Chimú,La Libertad,-78.64683,-7.579331
117,Julcan,La Libertad,-78.46349,-8.172426
118,Otuzco,La Libertad,-78.55882,-7.842634
119,Pacasmayo,La Libertad,-79.42624,-7.427516
120,Pataz,La Libertad,-77.32352,-8.142832
121,Sánchez Carrión,La Libertad,-77.90546,-7.789601
122,Santiago de Chuco,La Libertad,-78.139,-8.17562
123,Trujillo,La Libertad,-78.90015,-8.065707
124,Viru,La Libertad,-78.60461,-8.523329
125,Chiclayo,Lambayeque,-79.55018,-6.811201
126,Ferreñafe,Lambayeque,-79.52602,-6.390406
127,Lambayeque,Lambayeque,-79.97245,-6.188971
128,Lima,Lima Province,-76.90478,-12.01803
129,Barranca,Lima,-77.65746,-10.66661
130,Cañete,Lima,-76.35766,-12.79384
131,Cajatambo,Lima,-77.03246,-10.51538
132,Canta,Lima,-76.70994,-11.5408
133,Huaral,Lima,-76.91388,-11.32306
134,Huarochiri,Lima,-76.42554,-11.93974
135,Huaura,Lima,-77.2392,-11.03406
136,Oyon,Lima,-76.87647,-10.75872
137,Yauyos,Lima,-75.90055,-12.51226
138,Alto Amazonas,Loreto,-76.72702,-4.465881
139,Loreto,Loreto,-75.22929,-3.859476
140,Mariscal Ramón Castilla,Loreto,-71.73889,-3.888945
141,Maynas,Loreto,-73.47467,-2.852841
142,Requena,Loreto,-74.25476,-6.069362
143,Ucayali,Loreto,-75.38219,-7.293671
144,Manu,Madre de Dios,-71.29351,-12.26609
145,Tahuamanu,Madre de Dios,-70.33211,-11.14702
146,Tambopata,Madre de Dios,-70.04598,-12.20838
147,General Sánchez Cerro,Moquegua,-70.83152,-16.45862
148,Ilo,Moquegua,-71.21191,-17.57631
149,Mariscal Nieto,Moquegua,-70.78473,-17.0113
150,Daniel Alcides Carrión,Pasco,-76.48233,-10.50855
151,Oxapampa,Pasco,-74.97992,-10.29216
152,Pasco,Pasco,-76.14999,-10.74887
153,Ayabaca,Piura,-79.81449,-4.714151
154,Huancabamba,Piura,-79.51417,-5.44164
