id,name,lon,lat
PE.AM,Amazonas,-78.05017,-5.077252
PE.AN,Ancash,-77.6718,-9.407125
PE.AP,Apurímac,-72.97538,-14.02771
PE.AR,Arequipa,-72.47554,-15.84352
PE.AY,Ayacucho,-74.08344,-14.09165
PE.CJ,Cajamarca,-78.7456,-6.430284
PE.CL,Callao,-77.13604,-11.95461
PE.CS,Cusco,-72.15361,-13.19107
PE.HC,Huánuco,-76.04064,-9.421676
PE.HV,Huancavelica,-75.00277,-13.02389
PE.IC,Ica,-75.57482,-14.2351
PE.JU,Junín,-74.87697,-11.54178
PE.LL,La Libertad,-78.37024,-7.921391
PE.LB,Lambayeque,-79.82411,-6.35305
PE.LP,Lima Province,-76.90478,-12.01803
PE.LR,Lima,-76.6045,-11.76653
PE.LO,Loreto,-74.42412,-4.124847
PE.MD,Madre de Dios,-70.53172,-11.9727
PE.MQ,Moquegua,-70.83905,-16.86027
PE.PA,Pasco,-75.30764,-10.39655
PE.PI,Piura,-80.33586,-5.133361
PE.PU,Puno,-69.92273,-14.99583
PE.SM,San Martín,-76.72913,-7.03953
PE.TA,Tacna,-70.27756,-17.64416
PE.TU,Tumbes,-80.54526,-3.857496
PE.UC,Ucayali,-73.44493,-9.621718
