id,name,lat,lon
AM,Amazonas,-5.457653522390322,-78.10403243920997
AN,Ancash,-9.515693839343275,-78.27374737746352
AP,Apurímac,-13.911270779785218,-73.19016934415066
AR,Arequipa,-16.241522190480374,-73.0834652364036
AY,Ayacucho,-13.894125117231608,-73.96928570113022
CJ,Cajamarca,-6.446217433014491,-78.86139367052614
CL,Callao,-12.065686443154002,-77.16778001587096
CS,Cusco,-13.090004051534244,-72.26048921498911
HC,Huánuco,-9.052568302501948,-76.18585430767843
HV,Huancavelica,-13.021377617707563,-74.91959784239316
IC,Ica,-14.279578525957245,-75.9893011149736
JU,Junín,-11.371435974014421,-75.01190945782754
LL,La Libertad,-8.002917496079013,-78.92444609783124
LB,Lambayeque,-6.665695924456614,-79.96820128745026
LP,Lima Province,-12.192361190089915,-76.93291617166332
LR,Lima,-11.61088854936093,-76.79990624848696
LO,Loreto,-5.049310041185043,-73.6248059732741
MD,Madre de Dios,-12.005930569167365,-71.0738074254095
MQ,Moquegua,-17.33819659645024,-71.24430438347656
PA,Pasco,-10.65091533753019,-75.49113785504113
PI,Piura,-5.125966389496739,-81.04985116058619
PU,Puno,-14.67648572764515,-69.84715943174311
SM,San Martín,-7.197001302279762,-76.618094961203
TA,Tacna,-17.965983542207848,-70.66595913457901
TU,Tumbes,-3.668742693443969,-80.55389253097907
UC,Ucayali,-9.746293368294634,-73.03318302626613
