id,name,lon,lat
PLW-5258,State of Peleliu,134.2602,7.031375
PLW-5249,State of Koror,134.4381,7.288789
PLW-5256,State of Ngeremlengui,134.5711,7.539724
PLW-5254,State of Ngatpang,134.5456,7.477134
PLW-5244,State of Aimeliik,134.5233,7.437431
PLW-5245,State of Airai,134.5601,7.391881
PLW-5255,State of Ngchesar,134.5952,7.464325
PLW-5250,State of Melekeok,134.6153,7.512823
PLW-5257,State of Ngiwal,134.632,7.567442
PLW-5251,State of Ngaraard,134.6466,7.635629
PLW-5252,State of Ngarchelong,134.6399,7.707935
PLW-5253,State of Ngardmau,134.5908,7.598451
PLW-5247,State of Hatohobei,131.3622,3.015822
PLW-5259,State of Sonsorol,132.2203,5.302696
PLW-5246,State of Angaur,134.1575,6.912471
PLW-5248,State of Kayangel,134.7095,8.074288
