id,name,lon,lat
PNG-1241,Sandaun Province,141.7034,-3.912585
PNG-1248,Western Province,142.0445,-7.422063
PNG-1239,East Sepik Province,143.165,-4.295728
PNG-1240,Madang Province,145.2819,-5.154519
PNG-1253,Morobe Province,146.8425,-6.837393
PNG-1256,Northern Province,148.2581,-8.979442
PNG-1252,Milne Bay Province,150.6417,-10.04728
PNG-1249,Central Province,147.6116,-9.192937
PNG-1254,National Capital District,147.1936,-9.456738
PNG-1244,Gulf Province,144.7968,-7.379844
PNG-1245,Bougainville,155.2623,-6.141155
PNG-1257,West New Britain Province,149.8828,-5.754776
PNG-1250,East New Britain Province,151.6712,-5.092138
PNG-1255,New Ireland Province,151.9497,-3.486766
PNG-1251,Manus Province,146.9829,-2.086746
PNG-1242,Chimbu Province,144.9233,-6.344459
PNG-1238,Enga Province,143.4946,-5.418388
PNG-1247,Western Highlands Province,144.4191,-5.793494
PNG-1246,Southern Highlands Province,143.2883,-6.170132
PNG-1243,Eastern Highlands Province,145.6163,-6.478405
