id,name,lon,lat
POL-3146,Wojewodztwo Slaskie,18.9958,50.30965
POL-3170,Wojewodztwo Malopolskie,20.30799,49.83973
POL-3152,Wojewodztwo Podkarpackie,22.20831,49.96965
POL-3141,Wojewodztwo Dolnoslaskie,16.37315,51.075
POL-3167,Wojewodztwo Opolskie,17.87482,50.61687
POL-3150,Wojewodztwo Podlaskie,22.88349,53.27941
POL-3139,Wojewodztwo Warminsko-Mazurskie,20.76949,53.84969
POL-3143,Wojewodztwo Lubuskie,15.34177,52.20203
POL-3142,Wojewodztwo Zachodniopomorskie,15.61478,53.58734
POL-3151,Wojewodztwo Lubelskie,22.89976,51.2432
POL-3140,Wojewodztwo Pomorskie,18.03667,54.13572
POL-3148,Wojewodztwo Mazowieckie,21.08061,52.31178
POL-3147,Wojewodztwo Lodzkie,19.40903,51.55941
POL-3145,Wojewodztwo Kujawsko-Pomorskie,18.50108,53.02231
POL-3144,Wojewodztwo Wielkopolskie,17.24775,52.28334
POL-3149,Wojewodztwo Swietokrzyskie,20.76849,50.74192
