id,name,lon,lat
PRT-741,Distrito de Viana do Castelo,-8.511373,41.88099
PRT-749,Distrito de Braga,-8.310519,41.55527
PRT-750,Distrito de Braganca,-6.865684,41.51734
PRT-756,Distrito de Vila Real,-7.629013,41.55847
PRT-753,Distrito da Guarda,-7.233319,40.64855
PRT-751,Distrito de Castelo Branco,-7.509109,39.95502
PRT-747,Distrito de Portalegre,-7.630704,39.19354
PRT-744,Distrito de Evora,-7.853025,38.60738
PRT-743,Distrito de Beja,-7.948614,37.83059
PRT-745,Distrito de Faro,-8.141777,37.24533
PRT-5498,Distrito de Setubal,-8.651045,38.31267
PRT-746,Distrito de Lisboa,-9.171586,39.00319
PRT-748,Distrito de Santarem,-8.477301,39.29445
PRT-740,Distrito de Leiria,-8.777606,39.71926
PRT-752,Distrito de Coimbra,-8.334337,40.20442
PRT-739,Distrito de Aveiro,-8.464185,40.72395
PRT-754,Distrito do Porto,-8.360103,41.23005
PRT-736,Regiao Autonoma da Madeira,-16.94404,32.75617
PRT-735,Regiao Autonoma dos Acores,-27.33518,38.36607
PRT-755,Distrito de Viseu,-7.86963,40.80743
