id,name,depto,lon,lat
PY.NE.AL,Alberdi,Ñeembucú,-58.06468,-26.17701
PY.NE.CE,Cerrito,Ñeembucú,-57.59829,-27.31909
PY.NE.DE,Desmochados,Ñeembucú,-58.11933,-27.06713
PY.NE.GD,General José Eduvigis Díaz,Ñeembucú,-58.34288,-27.1726
PY.NE.GC,Guazú Cuá,Ñeembucú,-57.7601,-26.98794
PY.NE.HU,Humaitá,Ñeembucú,-58.48029,-27.08827
PY.NE.IU,Isla Umbú,Ñeembucú,-58.31344,-26.96633
PY.NE.LA,Laureles,Ñeembucú,-57.58389,-27.16292
PY.NE.MM,Mayor José J. Martinez,Ñeembucú,-58.12869,-27.18938
PY.NE.PP,Paso de Patria,Ñeembucú,-58.52643,-27.21919
PY.NE.PI,Pilar,Ñeembucú,-58.19478,-26.88561
PY.NE.SN,San Juan Bautista del Ñeembucu,Ñeembucú,-57.84778,-26.60846
PY.NE.TA,Tacuaras,Ñeembucú,-57.86429,-26.82285
PY.NE.VF,Villa Franca,Ñeembucú,-57.95464,-26.33433
PY.NE.VO,Villa Oliva,Ñeembucú,-57.71565,-26.03462
PY.NE.VI,Villalbín,Ñeembucú,-57.90617,-27.16898
PY.AG.FO,Fuerte Olimpo,Alto Paraguay,-58.66396,-20.40338
PY.AG.LV,La Victoria,Alto Paraguay,-58.82662,-21.60638
PY.AG.ML,Mayor Pablo Lagerenza,Alto Paraguay,-60.24272,-20.00535
PY.AA.NC,Ñacunday,Alto Paraná,-54.86955,-26.08933
PY.AA.CE,Ciudad del Este,Alto Paraná,-54.65784,-25.49617
PY.AA.DM,Doctor Juan León Mallorquín,Alto Paraná,-55.25849,-25.4784
,Domingo Martínez de Irala,Alto Paraná,-54.70644,-25.85631
,Hernandarias,Alto Paraná,-54.69516,-25.24985
PY.AA.IT,Itakyry,Alto Paraná,-55.14952,-24.81396
PY.AA.JO,Juan Emilio O'Leary,Alto Paraná,-55.36246,-25.46841
,Los Cedrales,Alto Paraná,-54.75733,-25.68628
PY.AA.MB,Mbaracayú,Alto Paraná,-54.71032,-25.02673
PY.AA.MG,Minga Guazú,Alto Paraná,-54.82853,-25.49692
PY.AA.MP,Minga Porá,Alto Paraná,-54.85981,-24.75418
PY.AA.NR,Naranjal,Alto Paraná,-55.19848,-26.02286
