id,name,lon,lat
PY.NE,Ñeembucú,-57.9024,-26.75999
PY.AG,Alto Paraguay,-59.41001,-20.58977
PY.AA,Alto Paraná,-54.95322,-25.38805
PY.AM,Amambay,-56.06265,-22.87581
PY.AS,Asunción,-57.60261,-25.27946
PY.BQ,Boquerón,-61.05817,-21.90424
PY.CG,Caaguazú,-55.88273,-25.18673
PY.CZ,Caazapá,-56.05891,-26.23486
PY.CY,Canindeyú,-55.2186,-24.22758
PY.CE,Central,-57.49361,-25.5349
PY.CN,Concepción,-57.11932,-22.83876
PY.CR,Cordillera,-56.94581,-25.19186
PY.GU,Guairá,-56.2954,-25.82299
PY.IT,Itapúa,-55.74704,-26.83117
PY.MI,Misiones,-57.08549,-26.95061
PY.PG,Paraguarí,-57.12993,-26.03943
PY.PH,Presidente Hayes,-58.68596,-23.61277
PY.SP,San Pedro,-56.64678,-24.16498
