id,name,lon,lat
ROU-301,Judetul Satu Mare,22.8939,47.68805
ROU-276,Judetul Arad,21.7524,46.26309
ROU-277,Judetul Bihor,22.20089,46.92967
ROU-280,Judetul Timis,21.35677,45.72993
ROU-124,Judetul Mehedinti,22.82096,44.58264
ROU-122,Judetul Dolj,23.63854,44.15932
ROU-129,Judetul Calarasi,27.06359,44.32429
ROU-127,Judetul Teleorman,25.22799,44.05044
ROU-131,Judetul Giurgiu,25.91792,44.17896
ROU-133,Judetul Constanta,28.23616,44.24616
ROU-126,Judetul Olt,24.45796,44.3065
ROU-278,Judetul Caras-Severin,22.04643,45.14933
ROU-287,Judetul Botosani,26.75568,47.8522
ROU-308,Judetul Iasi,27.28834,47.18128
ROU-316,Judetul Vaslui,27.78143,46.51788
ROU-315,Judetul Galati,27.76367,45.78572
ROU-311,Judetul Suceava,25.73583,47.52781
ROU-298,Judetul Maramures,23.99124,47.65642
ROU-4847,Judetul Tulcea,28.86029,45.06907
ROU-296,Judetul Cluj,23.53924,46.79633
ROU-295,Judetul Bistrita-Nasaud,24.5301,47.21418
ROU-300,Judetul Salaj,23.11246,47.17033
ROU-130,Judetul Dambovita,25.5109,44.86745
ROU-4844,Judetul Ilfov,26.17626,44.53541
ROU-302,Judetul Arges,24.90048,45.03922
ROU-123,Judetul Gorj,23.32754,45.00791
ROU-297,Judetul Hunedoara,22.93415,45.74714
ROU-304,Judetul Valcea,24.12069,45.09647
ROU-310,Judetul Prahova,26.01079,45.12161
ROU-306,Judetul Covasna,25.98814,45.93078
ROU-317,Judetul Vrancea,26.99205,45.78483
ROU-314,Judetul Buzau,26.74162,45.25716
ROU-305,Judetul Brasov,25.30725,45.75873
ROU-303,Judetul Sibiu,24.25021,45.84683
ROU-299,Judetul Mures,24.69638,46.58499
ROU-307,Judetul Harghita,25.57231,46.53446
ROU-309,Judetul Neamt,26.38786,46.94605
ROU-312,Judetul Bacau,26.78987,46.40726
ROU-294,Judetul Alba,23.48246,46.16593
ROU-313,Judetul Braila,27.6676,45.09697
ROU-132,Judetul Ialomita,27.24054,44.64022
ROU-128,Bucuresti,26.09092,44.46119
