id,name,lon,lat
RUS-2400,Respublika Altay,87.02502,50.72528
RUS-2335,Pskovskaya Oblast',29.23654,57.22486
RUS-2371,Krasnodarskiy Kray,39.46544,45.26049
RUS-2280,Karachayevo-Cherkesskaya Respublika,41.73901,43.75896
RUS-2304,Kabardino-Balkarskaya Respublika,43.39721,43.48568
RUS-2305,North Ossetia,44.26293,43.09646
RUS-2303,Respublika Ingushetiya,44.87326,43.17592
RUS-2416,Chechenskaya Respublika,45.74235,43.30233
RUS-2417,Respublika Dagestan,46.87104,43.0164
RUS-2333,Murmanskaya Oblast',34.60032,67.81454
RUS-2353,Respublika Kareliya,33.12443,63.54993
RUS-2336,Leningradskaya Oblast',31.70885,60.00728
RUS-2324,Kaliningradskaya Oblast',21.38629,54.71925
RUS-2343,Smolenskaya Oblast',32.99321,54.95086
RUS-2342,Bryanskaya Oblast',33.40487,52.90693
RUS-2362,Kurskaya Oblast',36.07562,51.67548
RUS-2370,Belgorodskaya Oblast',37.47276,50.66419
RUS-2377,Voronezhskaya Oblast',40.21789,50.97055
RUS-2367,Rostovskaya Oblast',41.30889,47.74613
RUS-2606,Respublika Buryatiya,109.4781,53.54643
RUS-2605,Respublika Tyva,94.78718,51.57744
RUS-2610,Zabaykal'skiy Kray,116.1972,52.83833
RUS-2609,Amurskaya Oblast',127.7299,53.40035
RUS-2613,Yevreyskaya Avtonomnaya Oblast',132.2628,48.5195
RUS-2614,Khabarovskiy Kray,137.3215,54.82425
RUS-2611,Primorskiy Kray,134.7054,45.16605
RUS-2398,Tyumenskaya Oblast',69.13338,57.68228
RUS-2380,Kurganskaya Oblast',64.804,55.44656
RUS-2397,Omskaya Oblast',73.34167,56.10771
RUS-2403,Novosibirskaya Oblast',79.75834,55.28065
RUS-2379,Chelyabinskaya Oblast',60.39013,54.45041
RUS-2399,Altayskiy Kray,82.60805,52.60675
RUS-2391,Orenburgskaya Oblast',55.62383,51.99155
RUS-2393,Saratovskaya Oblast',46.79351,51.58344
RUS-2388,Astrakhanskaya Oblast',47.27355,47.15946
RUS-2369,Volgogradskaya Oblast',44.15021,49.61658
RUS-283,Avtonomna Respublika Krym,34.36592,45.3254
RUS-2615,Magadanskaya Oblast',153.9837,62.70679
RUS-2616,Sakhalinskaya Oblast',143.6395,49.94272
RUS-5482,Misto Sevastopol',33.62585,44.58583
RUS-2321,Chukotskiy Avtonomnyy Okrug,114.1753,66.51999
RUS-2382,Yamalo-Nenetskiy Avtonomnyy Okrug,74.51125,67.14632
RUS-2381,Nenetskiy Avtonomnyy Okrug,54.93114,67.88474
RUS-2612,Respublika Sakha (Yakutiya),130.1098,66.18219
RUS-2337,Sankt-Peterburg,30.1854,59.89905
RUS-2354,Arkhangel'skaya Oblast',48.38577,67.84701
RUS-2603,Krasnoyarskiy Kray,95.99879,67.47137
RUS-2390,Respublika Kalmykiya,45.31774,46.44435
RUS-3468,Kamtchatski Kray,163.0045,58.93014
RUS+99?,NA,67.28402,68.79228
RUS-2378,Respublika Bashkortostan,56.51359,54.27342
RUS-2386,Sverdlovskaya Oblast',61.53036,58.59433
RUS-2396,Khanty-Mansiyskiy Avtonomnyy Okrug,70.29225,61.86711
RUS-2363,Lipetskaya Oblast',39.13548,52.64586
RUS-2375,Tambovskaya Oblast',41.5821,52.68581
RUS-2167,Tomskaya Oblast',82.138,58.49743
RUS-2394,Respublika Tatarstan,50.91162,55.3594
RUS-2395,Ul'yanovskaya Oblast',47.9537,53.8941
RUS-2373,Penzenskaya Oblast',44.63804,53.19294
RUS-2401,Kemerovskaya Oblast',87.21539,54.79492
RUS-2366,Orlovskaya Oblast',36.46749,52.77991
RUS-2602,Irkutskaya Oblast',106.3603,57.09386
RUS-2402,Respublika Khakasiya,89.85478,53.36584
RUS-2372,Respublika Mordoviya,44.44558,54.36955
RUS-2361,Kaluzhskaya Oblast',35.43783,54.36753
RUS-2356,Kostromskaya Oblast',43.78994,58.46004
RUS-2360,Yaroslavskaya Oblast',39.13495,57.86924
RUS-2376,Vladimirskaya Oblast',40.6604,56.01165
RUS-2374,Ryazanskaya Oblast',40.62108,54.32799
RUS-2355,Ivanovskaya Oblast',41.70951,57.01616
RUS-2357,Nizhegorodskaya Oblast',44.63927,56.29191
RUS-2368,Tul'skaya Oblast',37.55799,53.89333
RUS-2389,Chuvashskaya Respublika,47.08805,55.49558
RUS-2359,Vologodskaya Oblast',40.49966,59.96776
RUS-2334,Novgorodskaya Oblast',32.4828,58.30571
RUS-2358,Tverskaya Oblast',34.71426,57.0912
RUS-2364,Moskovskaya Oblast',37.66641,55.66721
RUS-2365,Moskva,37.3626,55.49924
RUS-2385,Respublika Mariy-El,47.93949,56.58141
RUS-2384,Kirovskaya Oblast',49.83031,58.68579
RUS-2387,Udmurtskaya Respublika,52.7872,57.17526
RUS-2383,Respublika Komi,54.78342,64.12826
RUS-3200,Perm Krai,56.22545,59.11638
RUS-2392,Samarskaya Oblast',50.4686,53.2801
RUS-2306,Stavropol'skiy Kray,43.35186,44.95252
RUS-2279,Respublika Adygeya,39.97376,44.56755
