id,name,lon,lat
SAU-1098,Al Mintaqah ash Sharqiyah,50.14508,22.92234
SAU-861,Mintaqat al Hudud ash Shamaliyah,42.07417,29.93796
SAU-862,Mintaqat al Jawf,38.74103,29.6784
SAU-1096,Mintaqat Najran,45.83143,18.28765
SAU-886,Mintaqat `Asir,42.99549,19.26939
SAU-887,Mintaqat Jizan,42.59687,17.38204
SAU-848,Mintaqat Tabuk,37.29398,27.38328
SAU-845,Mintaqat al Madinah,39.51645,24.88944
SAU-888,Mintaqat Makkah,41.20373,21.62632
SAU-1097,Mintaqat ar Riyad,45.54928,23.07426
SAU-846,Mintaqat al Qasim,43.22028,25.94588
SAU-847,Mintaqat Ha'il,41.60827,27.34763
SAU-885,Mintaqat al Bahah,41.41554,20.10593
