id,name,lon,lat
SDN-5859,Central Darfur State,23.43261,12.35412
SDN-5856,Southern Darfur State,24.42835,10.87426
SDN-876,Al Qadarif State,35.15979,14.11409
SDN-148,Blue Nile State,34.06471,11.40158
SDN-880,Sinnar State,34.01411,13.03341
SDN-878,Northern State,29.34718,19.59107
SDN-877,River Nile State,33.44558,18.34029
SDN-149,Red Sea State,35.70636,19.61664
SDN-881,Northern Darfur State,25.70935,16.35015
SDN-5858,Western Darfur State,23.04613,14.15566
SDN-884,Kassala State,35.73646,15.89827
SDN-879,White Nile State,32.28814,13.44353
SDN-882,Southern Kordofan State,29.83388,11.07017
SDN-5857,Eastern Darfur State,26.41791,11.03867
SDN-875,Al Jazirah State,33.28127,14.61248
SDN-874,Khartoum State,32.78517,15.84434
SDN-883,Northern Kordofan State,29.38201,14.43825
