id,name,lon,lat
SV.AH,Ahuachapán,-89.90191,13.85754
SV.CA,Cabañas,-88.70884,13.87703
SV.CH,Chalatenango,-89.0746,14.13118
SV.CU,Cuscatlán,-89.02002,13.83559
SV.LI,La Libertad,-89.36266,13.70421
SV.PA,La Paz,-88.96412,13.47524
SV.UN,La Unión,-87.8894,13.52314
SV.MO,Morazán,-88.10675,13.76645
SV.SM,San Miguel,-88.25469,13.53608
SV.SS,San Salvador,-89.16543,13.76329
SV.SV,San Vicente,-88.72111,13.60135
SV.SA,Santa Ana,-89.50516,14.11761
SV.SO,Sonsonate,-89.68426,13.69417
SV.US,Usulután,-88.4904,13.38214
