id,name,depto,lon,lat
1,Ahuachapán,Ahuachapán,-89.84895,13.96218
2,Apaneca,Ahuachapán,-89.79417,13.84732
3,Atiquizaya,Ahuachapán,-89.73818,13.95844
4,Concepción de Ataco,Ahuachapán,-89.8493,13.84853
5,El Refugio,Ahuachapán,-89.70188,13.98327
6,Guaymango,Ahuachapán,-89.84354,13.7282
7,Jujutla,Ahuachapán,-89.93368,13.74533
8,San Francisco Menéndez,Ahuachapán,-90.0299,13.81037
9,San Lorenzo,Ahuachapán,-89.77873,14.02546
10,San Pedro Puxtla,Ahuachapán,-89.80204,13.76145
11,Tacuba,Ahuachapán,-89.94295,13.89004
12,Turín,Ahuachapán,-89.76595,13.96263
13,Cinquera,Cabañas,-88.96005,13.88163
14,Dolores,Cabañas,-88.55448,13.80164
15,Guacotecti,Cabañas,-88.65185,13.86481
16,Ilobasco,Cabañas,-88.81522,13.84158
17,Jutiapa,Cabañas,-88.87517,13.91293
18,San Isidro,Cabañas,-88.70406,13.81906
19,Sensuntepeque,Cabañas,-88.63679,13.90179
20,Tejutepeque,Cabañas,-88.91425,13.85334
21,Victoria,Cabañas,-88.64078,13.9624
22,Agua Caliente,Chalatenango,-89.22305,14.19819
23,Arcatao,Chalatenango,-88.75261,14.05978
24,Azacualpa,Chalatenango,-88.991,13.99555
25,Chalatenango,Chalatenango,-88.93955,14.0432
26,Citalá,Chalatenango,-89.25995,14.36477
27,Comalapa,Chalatenango,-88.96047,14.15083
28,Concepción Quezaltepeque,Chalatenango,-88.94983,14.09441
29,Dulce Nombre de María,Chalatenango,-88.99831,14.20546
30,El Carrizal,Chalatenango,-88.91048,14.17737
31,El Paraíso,Chalatenango,-89.0849,14.09937
32,Embalse Cerron Grande,Chalatenango,-89.01635,14.00818
33,La Laguna,Chalatenango,-88.93999,14.1632
34,La Palma,Chalatenango,-89.17729,14.29987
35,La Reina,Chalatenango,-89.15347,14.19537
36,Las Vueltas,Chalatenango,-88.89014,14.0992
37,Nombre de Jesús,Chalatenango,-88.72614,14.01922
38,Nueva Concepción,Chalatenango,-89.30513,14.10781
39,Nueva Trinidad,Chalatenango,-88.79963,14.06473
40,Ojos de Agua,Chalatenango,-88.86507,14.12694
41,Potonico,Chalatenango,-88.90113,13.96213
42,San Antonio de la Cruz,Chalatenango,-88.78437,14.00814
43,San Antonio Los Ranchos,Chalatenango,-88.90151,14.00403
44,San Fernando,Chalatenango,-89.05713,14.30284
45,San Francisco Lempa,Chalatenango,-88.99983,13.97039
46,San Francisco Morazán,Chalatenango,-89.05711,14.21989
47,San Ignacio,Chalatenango,-89.18623,14.33629
48,San Isidro Labrador,Chalatenango,-88.83807,14.00712
49,San José Cancasque,Chalatenango,-88.84391,13.974
50,San José Las Flores,Chalatenango,-88.83697,14.04682
51,San Luis del Carmen,Chalatenango,-88.97306,13.95993
52,San Miguel de Mercedes,Chalatenango,-88.9381,13.99115
53,San Rafael,Chalatenango,-89.04172,14.12416
54,Santa Rita,Chalatenango,-89.00218,14.11048
55,Tejutla,Chalatenango,-89.12102,14.14773
56,Candelaria,Cuscatlán,-88.97222,13.67882
57,Cojutepeque,Cuscatlán,-88.93265,13.71653
58,El Carmen,Cuscatlán,-88.90153,13.72943
59,El Rosario,Cuscatlán,-88.90257,13.77256
60,Monte San Juan,Cuscatlán,-88.94051,13.76317
61,Oratorio de Concepción,Cuscatlán,-89.05406,13.82016
62,San Bartolomé Perulapía,Cuscatlán,-89.04773,13.77688
63,San Cristóbal,Cuscatlán,-88.89043,13.68756
64,San José Guayabal,Cuscatlán,-89.09797,13.84589
65,San Pedro Perulapán,Cuscatlán,-89.01142,13.77017
66,San Rafael Cedros,Cuscatlán,-88.87687,13.74381
67,San Ramón,Cuscatlán,-88.92603,13.67821
68,Santa Cruz Analquito,Cuscatlán,-88.95262,13.65195
69,Santa Cruz Michapa,Cuscatlán,-88.96627,13.73738
70,Suchitoto,Cuscatlán,-89.07713,13.94261
71,Tenancingo,Cuscatlán,-88.9699,13.82166
72,Antiguo Cuscatlán,La Libertad,-89.24526,13.66541
73,Chiltiupán,La Libertad,-89.45987,13.55744
74,Ciudad Arce,La Libertad,-89.41625,13.80593
75,Colón,La Libertad,-89.36084,13.72096
76,Comasagua,La Libertad,-89.3603,13.60399
77,Huizúcar,La Libertad,-89.23802,13.57358
78,Jayaque,La Libertad,-89.43752,13.6698
79,Jicalapa,La Libertad,-89.51089,13.53362
80,La Libertad,La Libertad,-89.2521,13.48274
81,Nueva San Salvador,La Libertad,-89.30548,13.64272
82,Nuevo Cuscatlán,La Libertad,-89.26063,13.64184
83,Opico,La Libertad,-89.36541,13.85655
84,Quezaltepeque,La Libertad,-89.2712,13.84264
85,Sacacoyo,La Libertad,-89.4416,13.73227
86,San José Villanueva,La Libertad,-89.26303,13.54953
87,San Matías,La Libertad,-89.30052,13.90092
88,San Pablo Tacachico,La Libertad,-89.32847,13.99774
89,Talnique,La Libertad,-89.39144,13.67065
90,Tamanique,La Libertad,-89.40836,13.56102
91,Teotepeque,La Libertad,-89.53799,13.57636
92,Tepecoyo,La Libertad,-89.48643,13.6844
93,Zaragoza,La Libertad,-89.29352,13.56803
94,Cuyultitán,La Paz,-89.09016,13.54227
95,El Rosario,La Paz,-88.99891,13.46159
96,Jerusalén,La Paz,-88.91093,13.65272
97,Mercedes La Ceiba,La Paz,-88.90502,13.6362
