id,name,lat,lon
ARG,Argentina,-37.134583018872036,-65.97436854818268
BOL,Bolivia,-17.26500730303328,-65.35527398213685
BRA,Brazil,-5.595095792548236,-54.614567312718975
CHL,Chile,-40.5086465539018,-72.47029295053298
COL,Colombia,3.881812212610761,-72.39309428482773
ECU,Ecuador,-1.5043007922284914,-79.30242326249022
FLK,Falkland Islands,-51.56081074827649,-59.362905823995064
GUF,French Guiana,3.7070949003732423,-49.86698142164475
GUY,Guyana,4.6,-59
PER,Peru,-5.845228285282179,-73.38306153902366
PRY,Paraguay,-23.970537252011002,-57.94366073390885
SUR,Suriname, 4.939398,-55.199089
URY,Uruguay,-32.60097000305376,-55.9024008203898
VEN,Venezuela,8.174435832239354,-66.70735315232186
