id,name,lon,lat
SRB-274,Severno Backi Okrug,19.6114,45.92673
SRB-273,Zapadno Backi Okrug,19.20322,45.72023
SRB-275,Severno Banatski Okrug,20.17968,45.90288
SRB-841,Pcinjski Okrug,22.05683,42.52639
SRB-125,Borski Okrug,22.24834,44.31459
SRB-844,Zajecarski Okrug,22.13797,43.72881
SRB-121,Pirotski Okrug,22.55345,43.14169
SRB-843,Jablanicki Okrug,21.89332,42.9086
SRB-834,Raski Okrug,20.5417,43.36447
SRB-833,Rasinski Okrug,21.15546,43.49813
SRB-835,Toplicki Okrug,21.3687,43.14547
SRB-1505,Zlatiborski Okrug,19.75449,43.59803
SRB-281,Sremski Okrug,19.74704,44.98907
SRB-838,Macvanski Okrug,19.51467,44.56449
SRB-1059,Juzhno Backi Okrug,19.74198,45.40574
SRB-1061,Srednje Banatski Okrug,20.49789,45.45569
SRB-1060,Juzhno Banatski Okrug,20.9616,45.00184
SRB-279,Branicevski Okrug,21.53347,44.46151
SRB-836,Belgrade,20.40732,44.62762
SRB-831,Podunavski Okrug,20.96231,44.45219
SRB-830,Nisavski Okrug,21.86372,43.40071
SRB-832,Pomoravski Okrug,21.3526,43.96451
SRB-839,Sumadijski Okrug,20.76598,44.09232
SRB-829,Moravicki Okrug,20.28453,43.75507
SRB-837,Kolubarski Okrug,19.91928,44.29116
