id,name,depto,lon,lat
1,Brownsweg,Brokopondo,-55.18499,4.989531
2,Centrum,Brokopondo,-54.95887,5.074353
3,Klaaskreek,Brokopondo,-55.11161,5.181458
4,Kwakoegron,Brokopondo,-55.35616,5.061091
5,Marechalskreek,Brokopondo,-55.10186,5.287983
6,Sarakreek,Brokopondo,-55.06159,4.565641
7,Alkmaar,Commewijne,-55.01684,5.845304
8,Bakki,Commewijne,-54.84915,5.922987
9,Margaretha,Commewijne,-55.06999,5.938689
10,Meerzorg,Commewijne,-54.89306,5.627765
11,Nw. Amsterdam,Commewijne,-55.09056,5.835635
12,Tamanredjo,Commewijne,-54.85338,5.786138
13,Johanna Maria,Coronie,-56.46522,5.670998
14,Totness,Coronie,-56.34532,5.639215
15,Welgelegen,Coronie,-56.14546,5.635917
16,Albina,Marowijne,-54.11186,5.540387
17,Galibi,Marowijne,-54.26945,5.813441
18,Moengo,Marowijne,-54.53455,5.695341
19,Moengotapoe,Marowijne,-54.25451,5.564588
20,Patamacca,Marowijne,-54.42662,5.404805
21,Wanhatti,Marowijne,-54.40257,5.793103
22,Groot Henar,Nickerie,-56.92892,5.567874
23,Nw . Nickerie,Nickerie,-56.98881,5.932147
24,Oostelijke Polders,Nickerie,-56.89839,5.932658
25,Wageningen,Nickerie,-56.65794,5.616228
26,Westelijke Polders,Nickerie,-57.15154,5.599504
27,Bigi Poika,Para,-55.68353,5.266527
28,Carolina,Para,-54.82699,5.331695
29,Noord,Para,-55.29443,5.620705
30,Oost,Para,-55.07998,5.528423
31,Zuid,Para,-55.25513,5.459988
32,Beekhuizen,Paramaribo,-55.18875,5.811487
33,Blauwgrond,Paramaribo,-55.14361,5.867704
34,Centrum,Paramaribo,-55.18678,5.828749
35,Flora,Paramaribo,-55.21217,5.82272
36,Latour,Paramaribo,-55.21042,5.802345
37,Livorno,Paramaribo,-55.17807,5.78992
38,Munder,Paramaribo,-55.20089,5.870954
39,Pontbuiten,Paramaribo,-55.21279,5.790068
40,Rainville,Paramaribo,-55.17376,5.857186
41,Tammenga,Paramaribo,-55.22864,5.823922
42,Weg Naar Zee,Paramaribo,-55.23273,5.879646
43,Welgelegen,Paramaribo,-55.22244,5.840845
44,Calcutta,Saramacca,-55.76211,5.641798
45,Groningen,Saramacca,-55.49817,5.807572
46,Jarikaba,Saramacca,-55.38374,5.808244
47,Kampong Baroe,Saramacca,-55.46836,5.610991
48,Tijgerkreek,Saramacca,-55.58176,5.778986
49,Wayambo Weg,Saramacca,-55.60879,5.917533
50,Boven Suriname,Sipaliwini,-55.68959,3.819826
51,Bven Saramacca,Sipaliwini,-55.78286,4.333231
52,Coeroeni,Sipaliwini,-56.60343,2.799103
53,Coppename,Sipaliwini,-56.32729,4.460362
54,Kabalebo,Sipaliwini,-57.23288,4.396044
55,Tapanahony,Sipaliwini,-54.95071,3.433242
56,De Nieuwe Grond,Wanica,-55.22245,5.758011
57,Domburg,Wanica,-55.11461,5.708514
58,Houttuin,Wanica,-55.16321,5.737864
59,Koewarasan,Wanica,-55.281,5.778491
60,Kwatta,Wanica,-55.27933,5.88452
61,Lelydorp,Wanica,-55.2749,5.704729
62,Saramaccapolder,Wanica,-55.27496,5.828377
