id,name,lon,lat
SYR-5261,NA,35.84507,33.15742
SYR-139,Muhafazat Hims,38.29885,34.33903
SYR-135,Muhafazat Tartus,36.07189,34.95739
SYR-144,Muhafazat Rif Dimashq,37.01333,33.46022
SYR-141,Muhafazat al Hasakah,40.90684,36.51206
SYR-136,Muhafazat ar Raqqah,38.93713,35.98375
SYR-137,Muhafazat Halab,37.5998,36.2327
SYR-140,Muhafazat Idlib,36.67928,35.78015
SYR-134,Muhafazat al Ladhiqiyah,36.02594,35.56771
SYR-143,Muhafazat as Suwayda',36.83127,32.76463
SYR-146,Muhafazat Dar`a,36.20883,32.84994
SYR-142,Muhafazat Dayr az Zawr,40.28066,35.15473
SYR-145,Muhafazat al Qunaytirah,35.91371,33.09352
SYR-138,Muhafazat Hamah,37.15836,35.22491
SYR-4843,Muhafazat Dimashq,36.28016,33.51702
