id,name,lon,lat
THA-443,Changwat Surin,103.6685,14.88409
THA-425,Changwat Sisaket,104.3788,14.85693
THA-426,Changwat Ubon Ratchathani,105.1197,15.17745
THA-433,Changwat Sa Kaeo,102.2935,13.77732
THA-436,Changwat Buriram,102.9718,14.82326
THA-435,Changwat Trat,102.5193,12.303
THA-432,Changwat Chanthaburi,102.12,12.86316
THA-385,Changwat Satun,99.93795,6.832401
THA-386,Changwat Songkhla,100.5562,6.896576
THA-388,Changwat Yala,101.2248,6.183275
THA-493,Changwat Narathiwat,101.7215,6.171941
THA-389,Changwat Chiang Rai,99.86622,19.84411
THA-390,Chiang Mai Province,98.73418,18.79056
THA-374,Changwat Mae Hong Son,98.02683,18.7549
THA-404,Changwat Tak,98.79617,16.69805
THA-399,Changwat Kanchanaburi,99.0404,14.5845
THA-420,Changwat Prachuap Khiri Khan,99.62647,11.92147
THA-419,Changwat Phetchaburi,99.6133,12.9369
THA-421,Changwat Ratchaburi,99.57382,13.53176
THA-375,Changwat Chumphon,99.06979,10.36657
THA-379,Changwat Ranong,98.71794,9.999887
THA-394,Changwat Phayao,100.1853,19.22802
THA-393,Changwat Nan,100.8254,18.84485
THA-398,Changwat Uttaradit,100.5092,17.74232
THA-396,Changwat Phitsanulok,100.53,16.97067
THA-445,Changwat Loei,101.6301,17.40886
THA-5499,Changwat Bueng Kan,103.721,18.14602
THA-446,Changwat Nong Khai,102.8422,17.94058
THA-472,Changwat Nakhon Phanom,104.4349,17.37237
THA-473,Changwat Mukdahan,104.5253,16.55681
THA-427,Changwat Amnat Charoen,104.7681,15.87024
THA-378,Changwat Phangnga,98.41915,8.677602
THA-382,Changwat Krabi,99.016,8.135332
THA-387,Changwat Trang,99.61524,7.525982
THA-494,Changwat Pattani,101.3526,6.730515
THA-383,Changwat Phatthalung,100.0321,7.513014
THA-376,Changwat Nakhon Si Thammarat,99.77791,8.372726
THA-380,Changwat Surat Thani,99.08754,9.04567
THA-424,Changwat Samut Songkhram,99.95618,13.39381
THA-423,Changwat Samut Sakhon,100.2159,13.5707
THA-416,Krung Thep Mahanakhon,100.62,13.77128
THA-422,Changwat Samut Prakan,100.706,13.59794
THA-431,Changwat Chachoengsao,101.4463,13.60388
THA-430,Changwat Chon Buri,101.211,13.19707
THA-434,Changwat Rayong,101.4225,12.85167
THA-377,Phuket Province,98.3415,7.974645
THA-438,Changwat Khon Kaen,102.5878,16.4038
THA-447,Changwat Sakon Nakhon,103.8213,17.38876
THA-403,Changwat Suphan Buri,99.89799,14.60791
THA-414,Changwat Sing Buri,100.3529,14.92134
THA-407,Changwat Chai Nat,100.0253,15.13639
THA-406,Changwat Ang Thong,100.3551,14.6235
THA-415,Changwat Sara Buri,100.9389,14.57643
THA-441,Changwat Nakhon Ratchasima,102.1169,14.95771
THA-409,Changwat Nakhon Nayok,101.1748,14.21698
THA-413,Changwat Pathum Thani,100.6793,14.06154
THA-405,Changwat Uthai Thani,99.46013,15.33888
THA-439,Changwat Kalasin,103.6283,16.63158
THA-442,Changwat Roi Et,103.8262,15.92324
THA-440,Changwat Maha Sarakham,103.1796,15.99345
THA-449,Changwat Nong Bua Lamphu,102.2974,17.17361
THA-408,Changwat Lop Buri,100.9141,15.07448
THA-448,Changwat Udon Thani,102.8557,17.42535
THA-412,Changwat Phra Nakhon Si Ayutthaya,100.5279,14.34072
THA-417,Changwat Nonthaburi,100.389,13.92667
THA-418,Changwat Nakhon Pathom,100.1093,13.9241
THA-400,Changwat Kamphaeng Phet,99.50259,16.32936
THA-391,Changwat Lampang,99.52553,18.35229
THA-397,Changwat Sukhothai,99.69873,17.2479
THA-411,Changwat Nakhon Sawan,100.1321,15.69239
THA-402,Changwat Phetchabun,101.147,16.26917
THA-401,Changwat Phichit,100.3572,16.23668
THA-437,Changwat Chaiyaphum,101.8025,16.00949
THA-395,Changwat Phrae,100.0648,18.19468
THA-392,Changwat Lamphun,98.9654,18.14166
THA-410,Changwat Prachin Buri,101.6251,14.07487
THA-428,Changwat Yasothon,104.3385,15.88978
