id,name,lon,lat
1,Arima,-61.27986,10.62763
2,Chaguanas,-61.41051,10.53611
3,Couva-Tabaquite-Talparo,-61.33626,10.43927
4,Diego Martin,-61.58607,10.71055
5,Mayaro/Rio Claro,-61.10601,10.27835
6,Penal-Debe,-61.4387,10.16114
7,Point Fortin,-61.67107,10.17474
8,Port of Spain,-61.51678,10.6623
9,Princes Town,-61.29599,10.20284
10,San Fernando,-61.45521,10.282
11,San Juan-Laventille,-61.44525,10.68537
12,Sangre Grande,-61.09959,10.64732
13,Siparia,-61.64084,10.13621
14,Tobago,-60.66507,11.24204
15,Tunapuna/Piarco,-61.30804,10.68766
