id,name,lon,lat
TUN-98,Gouvernorat de Tataouine,9.942967,31.99954
TUN-96,Gouvernorat de Medenine,10.86202,33.19176
TUN-106,Gouvernorat de Jendouba,8.685206,36.64033
TUN-97,Gouvernorat de Kebili,8.87933,33.2907
TUN-101,Gouvernorat de Tozeur,7.96153,33.94526
TUN-112,Gouvernorat de Gafsa,8.759374,34.40756
TUN-110,Gouvernorat de Kasserine,8.74119,35.22392
TUN-109,Gouvernorat de Kef,8.663369,36.03417
TUN-111,Gouvernorat de Gabes,9.796603,33.78435
TUN-114,Gouvernorat de Sfax,10.37182,34.7655
TUN-116,Gouvernorat de Mahdia,10.64083,35.32394
TUN-117,Gouvernorat de Monastir,10.76567,35.60529
TUN-119,Gouvernorat de Sousse,10.40969,35.87145
TUN-107,Gouvernorat de Nabeul,10.71407,36.69157
TUN-104,Gouvernorat de Ben Arous,10.22833,36.62301
TUN-108,Gouvernorat de Tunis,10.15571,36.77864
TUN-102,Gouvernorat de la Manouba,9.946508,36.84513
TUN-105,Gouvernorat de Bizerte,9.605217,37.08037
TUN-103,Gouvernorat de Beja,9.314552,36.68315
TUN-115,Gouvernorat de Siliana,9.32948,36.0509
TUN-113,Gouvernorat de Sidi Bou Zid,9.531916,34.85903
TUN-118,Gouvernorat de Kairouan,9.863194,35.60655
TUN-120,Gouvernorat de Zaghouan,9.995924,36.31654
