id,name,lon,lat
TUR-4839,Ardahan,42.75687,41.10061
TUR-2298,Artvin,41.80143,41.09685
TUR-3044,Sirnak,42.56298,37.46426
TUR-3047,Hakkari,44.06857,37.48116
TUR-4840,Igdir,43.99919,39.86383
TUR-2307,Agri,43.21645,39.56194
TUR-3048,Van,43.58813,38.52036
TUR-2241,Kirklareli,27.41905,41.68351
TUR-2240,Edirne,26.56437,41.2106
TUR-3040,Kars,43.07345,40.44702
TUR-3041,Mardin,40.92047,37.36455
TUR-3017,Sanliurfa,39.10712,37.25075
TUR-4841,Kilis,37.08027,36.79111
TUR-3016,Gaziantep,37.36243,37.0892
TUR-2289,Hatay,36.24633,36.44386
TUR-2265,Istanbul,28.894,41.1544
TUR-2242,Tekirdag,27.39535,41.09364
TUR-2239,Canakkale,26.74191,40.03976
TUR-2301,Rize,40.8454,40.93502
TUR-2302,Trabzon,39.80583,40.79774
TUR-2292,Giresun,38.59189,40.57753
TUR-2293,Ordu,37.53923,40.79361
TUR-2296,Samsun,36.02392,41.21293
TUR-2294,Sinop,34.88055,41.62788
TUR-2270,Kastamonu,33.6774,41.48582
TUR-5521,Bartin,32.51954,41.60281
TUR-3010,Zonguldak,31.8775,41.27607
TUR-5519,Duezce,31.26977,40.91345
TUR-2267,Sakarya,30.5003,40.72884
TUR-2266,Kocaeli,29.90672,40.86897
TUR-5518,Yalova,29.1376,40.58812
TUR-2264,Bursa,29.02029,40.11351
TUR-2238,Balikesir,27.87043,39.67871
TUR-2230,Izmir,27.31486,38.49931
TUR-2229,Aydin,28.01181,37.74877
TUR-2278,Mugla,28.47894,37.02191
TUR-2271,Antalya,30.93226,36.7993
TUR-2285,Icel,33.83679,36.69446
TUR-3018,Adana,35.60892,37.43809
TUR-2268,Bolu,31.62906,40.60252
TUR-3008,Ankara,32.60978,39.78079
TUR-2263,Bilecik,30.10403,40.06696
TUR-2269,Eskisehir,31.10284,39.59653
TUR-3009,Cankiri,33.4448,40.68682
TUR-5520,Karabuek,32.64102,41.18299
TUR-2297,Tokat,36.58377,40.37808
TUR-2295,Sivas,37.34673,39.58586
TUR-2291,Corum,34.65185,40.56108
TUR-2290,Amasya,35.71755,40.69467
TUR-2276,Kuetahya,29.57411,39.25379
TUR-3011,Konya,32.61828,38.04756
TUR-3012,Karaman,33.22292,37.08067
TUR-3020,Nigde,34.70266,37.9298
TUR-2287,Kayseri,35.83597,38.64717
TUR-2275,Isparta,30.95061,37.92482
TUR-2277,Manisa,28.18147,38.75828
TUR-2274,Denizli,29.26649,37.74433
TUR-2273,Burdur,30.09615,37.41888
TUR-3021,Aksaray,33.85816,38.38225
TUR-2288,Nevsehir,34.69075,38.80218
TUR-3026,Yozgat,35.25838,39.66817
TUR-2286,Kirsehir,34.14922,39.32757
TUR-3014,Usak,29.36294,38.53691
TUR-2300,Erzincan,39.31566,39.67476
TUR-3045,Tunceli,39.48229,39.19526
TUR-2272,Afyonkarahisar,30.64913,38.62216
TUR-3019,Kirikkale,33.6834,39.84737
TUR-2283,Kahramanmaras,36.98607,37.92376
TUR-2310,Mus,41.8455,39.02023
TUR-2299,Erzurum,41.5427,40.05173
TUR-2284,Malatya,38.12104,38.50714
TUR-2282,Elazig,39.43363,38.68358
TUR-2311,Bitlis,42.39419,38.54459
TUR-2308,Bingoel,40.70313,39.06334
TUR-4842,Osmaniye,36.28348,37.27387
TUR-2281,Adiyaman,38.34061,37.80382
TUR-2309,Diyarbakir,40.34174,38.12627
TUR-3042,Batman,41.4098,38.00596
TUR-3043,Siirt,42.2679,37.91644
TUR-3032,Bayburt,40.22329,40.27977
TUR-3031,Guemueshane,39.37724,40.31633
