id,name,lon,lat
UGA-3372,Ntungamo District,30.26836,-0.9451222
UGA-3370,Isingiro District,30.86616,-0.8529424
UGA-3375,Kabale District,29.9727,-1.232915
UGA-3376,Kisoro District,29.66888,-1.210646
UGA-3361,Rakai District,31.52437,-0.7812326
UGA-2631,Kalangala District,32.41876,-0.5828613
UGA-5598,Buvuma District,33.17538,-0.4319088
UGA-3120,Mayuge District,33.53972,-0.2733455
UGA-5614,Namayingo District,33.7833,-0.3231792
UGA-3125,Kaabong District,34.0196,3.602887
UGA-3096,Kitgum District,33.27015,3.395719
UGA-5603,Lamwo District,32.70471,3.531416
UGA-5601,Amuru District,31.93504,3.019814
UGA-3079,Adjumani District,31.76602,3.225614
UGA-3085,Moyo District,31.67911,3.528947
UGA-3086,Yumbe District,31.28627,3.512116
UGA-3081,Koboko District,30.97645,3.516578
UGA-3127,Moroto District,34.6117,2.725696
UGA-3112,Kapchorwa District,34.45719,1.315475
UGA-3113,Bukwa District,34.68138,1.259291
UGA-5616,Amudat District,34.86159,1.761673
UGA-3118,Busia District,33.99494,0.4144712
UGA-3121,Tororo District,34.06415,0.7204777
UGA-3116,Manafwa District,34.31761,0.8902513
UGA-5626,Bududa District,34.38681,1.048604
UGA-3087,Maracha District,30.90629,3.235443
UGA-3080,Arua District,31.12285,2.963974
UGA-5589,Zombo District,30.88667,2.54081
UGA-3084,Nebbi District,31.26568,2.458994
UGA-3082,Bulisa District,31.39982,1.969721
UGA-3105,Hoima District,31.02101,1.428659
UGA-5610,Ntoroko District,30.37059,1.026008
UGA-3104,Bundibugyo District,30.0497,0.6981302
UGA-3106,Kabarole District,30.25059,0.5460931
UGA-3367,Kasese District,29.97638,0.0883081
UGA-5621,Rubirizi District,29.96695,-0.2490259
UGA-3373,Rukungiri District,29.88374,-0.6980533
UGA-3377,Kanungu District,29.71081,-0.8186798
UGA-3069,Kamuli District,33.1078,0.9161345
UGA-5592,Luuka District,33.36939,0.7702377
UGA-5593,Buyende District,33.14842,1.252454
UGA-3064,Jinja District,33.31249,0.4977454
UGA-5604,Apac District,32.57657,1.883425
UGA-3090,Nakasongola District,32.41903,1.350712
UGA-3102,Masindi District,31.70031,1.721164
UGA-3067,Kayunga District,32.87997,1.017251
UGA-3092,Luwero District,32.60534,0.8061666
UGA-3070,Amolatar District,32.73278,1.615558
UGA-3094,Mityana District,32.08634,0.4413453
UGA-3089,Kiboga District,31.96074,0.846556
UGA-3078,Mpigi District,32.16913,0.08305429
UGA-5599,Butambala District,32.04122,0.142397
UGA-5600,Gomba District,31.6825,0.1906389
UGA-3091,Wakiso District,32.44365,0.1856153
UGA-3095,Nakaseke District,32.18802,1.032273
UGA-5602,Kyankwanzi District,31.64478,1.130809
UGA-3066,Kaberamaido District,33.19652,1.69833
UGA-3100,Dokolo District,33.08373,1.94095
UGA-3107,Toro District,30.66949,0.6219059
UGA-3368,Kamwenge District,30.50626,0.1978015
UGA-5611,Kyegegwa District,31.02977,0.4613935
UGA-3077,Sembabule District,31.33938,-0.02709342
UGA-3108,Kibale District,31.0781,0.9417058
UGA-3093,Mubende District,31.54215,0.5168569
UGA-3103,Oyam District,32.48654,2.361889
UGA-3099,Lira District,32.91655,2.30352
UGA-5605,Kole District,32.70527,2.285063
UGA-3101,Pader District,32.88083,2.887868
UGA-3369,Ibanda District,30.51747,-0.06683591
UGA-3374,Mbarara District,30.55361,-0.5694875
UGA-3098,Gulu District,32.40227,2.850595
UGA-5609,Kiryandongo District,32.04421,2.02886
UGA-3068,Iganga District,33.54954,0.6815043
UGA-5617,Lwengo District,31.44198,-0.4157772
UGA-5619,Bukomansimbi District,31.64767,-0.1163695
UGA-5620,Kalungu District,31.81039,-0.1075989
UGA-3088,Kampala District,32.60948,0.3812108
UGA-3071,Kaliro District,33.48399,1.061431
UGA-5608,Agago District,33.36771,2.912955
UGA-3123,Kotido District,33.98084,3.014921
UGA-3126,Abim District,33.71396,2.755928
UGA-5607,Otuke District,33.34885,2.481346
UGA-5606,Alebtong District,33.23445,2.258737
UGA-3124,Amuria District,33.68928,2.096285
UGA-3122,Katakwi District,34.03356,1.916426
UGA-5596,Serere District,33.42649,1.498974
UGA-3074,Soroti District,33.58393,1.760963
UGA-3076,Pallisa District,33.72993,1.220737
UGA-3371,Kiruhura District,30.88011,-0.2355936
UGA-5618,Lyantonde District,31.17809,-0.2504788
UGA-3362,Masaka District,31.84328,-0.4924236
UGA-3075,Mukono District,32.79293,0.3370018
UGA-5597,Buikwe District,32.96272,0.09708932
UGA-3128,Nakapiripirit District,34.56243,1.906763
UGA-5612,Kween District,34.58243,1.443306
UGA-5624,Buhweju District,30.32159,-0.3525837
UGA-5623,Sheema District,30.33548,-0.6066807
UGA-5622,Mitoma District,30.04885,-0.6396711
UGA-3366,Bushenyi District,30.13128,-0.4997411
UGA-5613,Bulambuli District,34.34117,1.37587
UGA-3114,Sironko District,34.33726,1.15892
UGA-3117,Bugiri District,33.7578,0.5316873
UGA-5625,Nwoya District,31.85009,2.512857
UGA-3115,Mbale District,34.18651,1.017783
UGA-5594,Budaka District,33.96958,1.057965
UGA-3119,Butaleja District,33.91551,0.8770956
UGA-5595,Kibuku District,33.7892,1.044694
UGA-5615,Napak District,34.2753,2.416603
UGA-3065,Kumi District,33.96963,1.47902
UGA-5590,Ngora District,33.7508,1.483484
UGA-5591,Bukedea District,34.12324,1.350247
UGA-3073,Namutumba District,33.66998,0.8635367
