id,name,lon,lat
UKR-285,Chernihivs'ka Oblast',31.99507,51.34998
UKR-318,Volyns'ka Oblast',24.852,51.18046
UKR-286,Rivnens'ka Oblast',26.37251,51.03879
UKR-324,Zhytomyrs'ka Oblast',28.47075,50.62987
UKR-321,Kyyivs'ka Oblast',30.4429,50.28161
UKR-293,Zakarpattia Oblast,23.27105,48.40072
UKR-288,Chernivets'ka Oblast',25.98451,48.26916
UKR-289,Ivano-Frankivs'ka Oblast',24.6149,48.69174
UKR-322,Odes'ka Oblast',29.85738,46.73356
UKR-323,Vinnyts'ka Oblast',28.68924,48.90566
UKR-291,L'vivs'ka Oblast',23.90915,49.71351
UKR-325,Sums'ka Oblast',34.10385,51.09797
UKR-328,Kharkivs'ka Oblast',36.49116,49.60714
UKR-329,Luhans'ka Oblast',39.00948,48.9748
UKR-327,Donets'ka Oblast',37.66596,48.04521
UKR-4827,Khersons'ka Oblast',33.60177,46.66618
UKR-331,Zaporiz'ka Oblast',35.69139,47.26614
UKR-284,Mykolayivs'ka Oblast',31.78134,47.44705
UKR-330,Poltavs'ka Oblast',33.77348,49.73288
UKR-290,Khmel'nyts'ka Oblast',26.93323,49.50189
UKR-292,Ternopil's'ka Oblast',25.64755,49.40033
UKR-326,Dnipropetrovska Oblast',34.84042,48.29953
UKR-319,Cherkas'ka Oblast',31.36585,49.26028
UKR-320,Kirovohrads'ka Oblast',32.07905,48.4681
UKR-4826,Misto Kyyiv,30.53372,50.42156
