id,name,lon,lat
UY.AR,Artigas,-56.9509,-30.54679
UY.CA,Canelones,-55.95869,-34.51916
UY.CL,Cerro Largo,-54.37492,-32.40241
UY.CO,Colonia,-57.67854,-34.11219
UY.DU,Durazno,-56.1079,-32.93534
UY.FS,Flores,-56.93598,-33.50983
UY.FD,Florida,-55.90194,-33.70328
UY.LA,Lavalleja,-55.00869,-33.86806
UY.MA,Maldonado,-54.86187,-34.54699
UY.MO,Montevideo,-56.22673,-34.82582
UY.PA,Paysandú,-57.37947,-32.03252
UY.RN,Río Negro,-57.46637,-32.71726
UY.RV,Rivera,-55.03442,-31.64749
UY.RO,Rocha,-54.02296,-33.94322
UY.SA,Salto,-57.04948,-31.23718
UY.SJ,San José,-56.74567,-34.27396
UY.SO,Soriano,-57.76432,-33.47786
UY.TA,Tacuarembó,-55.807,-32.03938
UY.TT,Treinta y Tres,-54.30492,-33.0014
