id,name,lat,lon
UY.AR,Artigas,-34.974,-58.4427
UY.CA,Canelones,-34.974,-58.4427
UY.CL,Cerro Largo,-34.974,-58.4427
UY.CO,Colonia,-34.974,-58.4427
UY.DU,Durazno,-34.974,-58.4427
UY.FS,Flores,-34.974,-58.4427
UY.FD,Florida,-34.974,-58.4427
UY.LA,Lavalleja,-34.974,-58.4427
UY.MA,Maldonado,-34.974,-58.4427
UY.MO,Montevideo,-34.974,-58.4427
UY.PA,Paysandú,-34.974,-58.4427
UY.RN,Río Negro,-34.974,-58.4427
UY.RV,Rivera,-34.974,-58.4427
UY.RO,Rocha,-34.974,-58.4427
UY.SA,Salto,-34.974,-58.4427
UY.SJ,San José,-34.974,-58.4427
UY.SO,Soriano,-34.974,-58.4427
UY.TA,Tacuarembó,-34.974,-58.4427
UY.TT,Treinta y Tres,-34.974,-58.4427
