id,name,depto,lon,lat
US.AL.AU,Autauga,Alabama,-86.64291,32.53552
US.AL.BD,Baldwin,Alabama,-87.72492,30.73627
US.AL.BR,Barbour,Alabama,-85.39544,31.8698
US.AL.BI,Bibb,Alabama,-87.12638,32.99865
US.AL.BU,Blount,Alabama,-86.56797,33.98158
US.AL.BL,Bullock,Alabama,-85.7162,32.10108
US.AL.BT,Butler,Alabama,-86.68008,31.7529
US.AL.CN,Calhoun,Alabama,-85.82651,33.77162
US.AL.CM,Chambers,Alabama,-85.39279,32.91475
US.AL.CH,Cherokee,Alabama,-85.60383,34.17592
US.AL.CI,Chilton,Alabama,-86.71917,32.84778
US.AL.CC,Choctaw,Alabama,-88.26291,32.01986
US.AL.CK,Clarke,Alabama,-87.83081,31.67705
US.AL.CY,Clay,Alabama,-85.86058,33.26919
US.AL.CB,Cleburne,Alabama,-85.51884,33.67494
US.AL.CF,Coffee,Alabama,-85.98769,31.40278
US.AL.CL,Colbert,Alabama,-87.80552,34.70079
US.AL.CO,Conecuh,Alabama,-86.9936,31.42951
US.AL.CS,Coosa,Alabama,-86.24836,32.93645
US.AL.CV,Covington,Alabama,-86.45087,31.24925
US.AL.CA,Crenshaw,Alabama,-86.31347,31.73141
US.AL.CU,Cullman,Alabama,-86.86826,34.1324
US.AL.DE,Dale,Alabama,-85.61066,31.43292
US.AL.DL,Dallas,Alabama,-87.10647,32.3271
US.AL.DA,De Kalb,Alabama,-85.80384,34.45994
US.AL.EL,Elmore,Alabama,-86.14885,32.5975
US.AL.ES,Escambia,Alabama,-87.16133,31.12732
US.AL.ET,Etowah,Alabama,-86.03483,34.04496
US.AL.FA,Fayette,Alabama,-87.7387,33.72148
US.AL.FR,Franklin,Alabama,-87.84361,34.44195
US.AL.GE,Geneva,Alabama,-85.83797,31.09541
US.AL.GR,Greene,Alabama,-87.95158,32.85354
US.AL.HA,Hale,Alabama,-87.62859,32.76355
US.AL.HE,Henry,Alabama,-85.24316,31.51526
US.AL.HO,Houston,Alabama,-85.30457,31.15386
US.AL.JA,Jackson,Alabama,-85.99952,34.78002
US.AL.JE,Jefferson,Alabama,-86.89639,33.5546
US.AL.LM,Lamar,Alabama,-88.09639,33.77939
US.AL.LU,Lauderdale,Alabama,-87.6534,34.90225
US.AL.LW,Lawrence,Alabama,-87.31092,34.52233
US.AL.LE,Lee,Alabama,-85.35558,32.60147
US.AL.LI,Limestone,Alabama,-86.98134,34.81035
US.AL.LO,Lowndes,Alabama,-86.6499,32.15493
US.AL.MC,Macon,Alabama,-85.69247,32.3865
US.AL.MD,Madison,Alabama,-86.55054,34.76352
US.AL.ME,Marengo,Alabama,-87.78936,32.24802
US.AL.MI,Marion,Alabama,-87.88637,34.13685
US.AL.MS,Marshall,Alabama,-86.30638,34.36715
US.AL.MB,Mobile,Alabama,-88.20642,30.78897
US.AL.MR,Monroe,Alabama,-87.36547,31.57117
US.AL.MT,Montgomery,Alabama,-86.20794,32.22137
US.AL.MG,Morgan,Alabama,-86.85267,34.45373
US.AL.PE,Perry,Alabama,-87.29445,32.63954
US.AL.PC,Pickens,Alabama,-88.08773,33.28145
US.AL.PK,Pike,Alabama,-85.94164,31.80267
US.AL.RA,Randolph,Alabama,-85.45981,33.29434
US.AL.RU,Russell,Alabama,-85.18676,32.28918
US.AL.SA,Saint Clair,Alabama,-86.316,33.71646
US.AL.SH,Shelby,Alabama,-86.66194,33.26461
US.AL.SU,Sumter,Alabama,-88.19775,32.59087
US.AL.TD,Talladega,Alabama,-86.16757,33.38019
US.AL.TP,Tallapoosa,Alabama,-85.79742,32.86259
US.AL.TU,Tuscaloosa,Alabama,-87.52481,33.28988
US.AL.WK,Walker,Alabama,-87.29717,33.80361
US.AL.WS,Washington,Alabama,-88.20777,31.40797
US.AL.WC,Wilcox,Alabama,-87.30827,31.9899
US.AL.WN,Winston,Alabama,-87.37354,34.14948
US.AK.AE,Aleutians East,Alaska,-162.0601,55.32468
US.AK.AW,Aleutians West,Alaska,-108.7661,52.81034
US.AK.AN,Anchorage,Alaska,-149.1092,61.14968
US.AK.BE,Bethel,Alaska,-159.7172,60.91905
US.AK.BR,Bristol Bay,Alaska,-156.7041,58.74314
US.AK.DE,Denali,Alaska,-150.2035,63.65968
US.AK.DI,Dillingham,Alaska,-158.2205,59.80044
US.AK.FA,Fairbanks North Star,Alaska,-146.5635,64.80817
US.AK.HA,Haines,Alaska,-135.502,59.12301
US.AK.JU,Juneau,Alaska,-134.1807,58.46193
US.AK.KN,Kenai Peninsula,Alaska,-151.5775,60.26737
US.AK.KT,Ketchikan Gateway,Alaska,-131.38,55.56533
US.AK.KO,Kodiak Island,Alaska,-153.8051,57.67831
US.AK.LA,Lake and Peninsula,Alaska,-156.2144,58.63949
US.AK.MA,Matanuska-Susitna,Alaska,-149.569,62.31669
US.AK.NM,Nome,Alaska,-163.9411,64.90071
US.AK.NH,North Slope,Alaska,-153.3909,69.29711
US.AK.NW,Northwest Arctic,Alaska,-159.6943,67.06049
US.AK.PR,Prince of Wales-Outer Ketchi,Alaska,-131.7815,55.55417
US.AK.SI,Sitka,Alaska,-135.3043,57.23364
US.AK.SK,Skagway-Yakutat-Angoon,Alaska,-136.8695,58.82718
US.AK.SO,Southeast Fairbanks,Alaska,-143.3642,63.87177
US.AK.VA,Valdez-Cordova,Alaska,-144.2794,61.46631
US.AK.WA,Wade Hampton,Alaska,-163.3691,62.15418
