id,name,lon,lat
01,Alabama,-86.82672,32.7899
02,Alaska,-152.3755,64.22785
04,Arizona,-111.6631,34.29302
05,Arkansas,-92.44129,34.89813
06,California,-119.6143,37.25419
08,Colorado,-105.5488,38.9987
09,Connecticut,-72.727,41.62055
10,Delaware,-75.49722,38.98264
11,District of Columbia,-77.02152,38.89914
12,Florida,-82.50331,28.65911
13,Georgia,-83.44597,32.64802
15,Hawaii,-156.2207,20.1509
16,Idaho,-114.6604,44.38831
17,Illinois,-89.1953,40.06264
18,Indiana,-86.26984,39.91141
19,Iowa,-93.50077,42.0759
20,Kansas,-98.38334,38.48395
21,Kentucky,-85.29176,37.52695
22,Louisiana,-91.98925,31.06113
23,Maine,-69.23248,45.37878
24,Maryland,-76.76916,39.0354
25,Massachusetts,-71.84376,42.26712
26,Michigan,-85.42591,44.3397
27,Minnesota,-94.31156,46.31753
28,Mississippi,-89.66303,32.74926
29,Missouri,-92.47812,38.36821
30,Montana,-109.647,47.03403
31,Nebraska,-99.8107,41.52723
32,Nevada,-116.6538,39.35463
33,New Hampshire,-71.57868,43.68143
34,New Jersey,-74.66137,40.1938
35,New Mexico,-106.1077,34.42097
36,New York,-75.50042,42.9436
37,North Carolina,-79.33954,35.53784
38,North Dakota,-100.4707,47.44612
39,Ohio,-82.78824,40.29571
40,Oklahoma,-97.50553,35.58496
41,Oregon,-120.5559,43.93725
42,Pennsylvania,-77.80094,40.87409
44,Rhode Island,-71.57063,41.69079
45,South Carolina,-80.89535,33.90367
46,South Dakota,-100.2316,44.43617
47,Tennessee,-86.34748,35.84248
48,Texas,-99.3574,31.49549
49,Utah,-111.6776,39.32561
50,Vermont,-72.6597,44.07435
51,Virginia,-78.78825,37.51548
53,Washington,-120.4482,47.37555
54,West Virginia,-80.61692,38.63784
55,Wisconsin,-90.01412,44.6346
56,Wyoming,-107.5519,43.00076
72,Puerto Rico,-66.47639,18.22904
