id,name,depto,lon,lat
1,Alto Orinoco,Amazonas,-64.85507,2.931976
2,Atabapo,Amazonas,-66.63462,3.753081
3,Atures,Amazonas,-67.36423,5.721542
4,Autana,Amazonas,-67.17918,4.978259
5,Manapiare,Amazonas,-65.67674,5.006657
6,Maroa,Amazonas,-66.83681,2.637222
7,Río Negro,Amazonas,-65.75097,1.654093
8,Anaco,Anzoátegui,-64.46078,9.274909
9,Aragua,Anzoátegui,-64.77009,9.289138
10,Bolívar,Anzoátegui,-64.63681,9.983021
11,Bruzual,Anzoátegui,-65.35837,9.888481
12,Cajigal,Anzoátegui,-65.2921,9.651154
13,Carvajal,Anzoátegui,-65.6584,9.903161
14,Fernando de Peñalver,Anzoátegui,-65.06539,9.988455
15,Freites,Anzoátegui,-64.0259,9.272655
16,"General Sir Arthur McGregor
",Anzoátegui,-65.00758,9.142825
17,Guanipa,Anzoátegui,-63.87781,8.760249
18,Guanta,Anzoátegui,-64.54908,10.2147
19,Independencia,Anzoátegui,-63.40966,8.449322
20,Isla,Anzoátegui,-64.66694,10.28933
21,Libertad,Anzoátegui,-64.51474,9.748907
22,Lic. Diego Bautista Urban,Anzoátegui,-64.68932,10.20375
23,Miranda,Anzoátegui,-64.24243,8.408461
24,Monagas,Anzoátegui,-64.84953,8.109089
25,Píritu,Anzoátegui,-65.02824,9.9189
26,San Juan de Capistrano,Anzoátegui,-65.38908,10.07179
27,Santa Ana,Anzoátegui,-64.5959,9.161546
28,Simón Rodríguez,Anzoátegui,-64.13971,8.723524
29,Sotillo,Anzoátegui,-64.53272,10.15781
30,Achaguas,Apure,-68.41736,7.250284
31,Biruaca,Apure,-67.69852,7.709185
32,Muñoz,Apure,-69.31192,7.615517
33,Páez,Apure,-70.87383,7.26975
34,Pedro Camejo,Apure,-67.87141,6.743833
35,Rómulo Gallegos,Apure,-69.40904,6.805938
36,San Fernando,Apure,-66.95452,7.515247
37,Bolívar,Aragua,-67.35949,10.24176
38,Camatagua,Aragua,-66.86803,9.843984
39,Francisco Linares,Aragua,-67.50039,10.20598
40,Girardot,Aragua,-67.53755,10.35905
41,José Angel Lamas,Aragua,-67.45863,10.16694
42,José Félix Ribas,Aragua,-67.26024,10.20906
43,José R Revenga,Aragua,-67.18343,10.29842
44,Libertador,Aragua,-67.51361,10.17321
45,Mario Briceño Iragorry,Aragua,-67.59218,10.32798
46,"Ocumare de la Costa de Oro
",Aragua,-67.70475,10.43026
47,San Casimiro,Aragua,-66.91687,9.994217
48,San Sebastián,Aragua,-67.13941,10.00697
49,Santiago Mariño,Aragua,-67.43147,10.37331
50,Santos Michelena,Aragua,-67.12166,10.20091
51,Sucre,Aragua,-67.39081,10.15804
