id,name,lat,lon
,Amazonas,3.057826968107436,-65.5277809359912
,Anzoátegui,10.116528360262734,-64.72986352074409
,Apure,7.319019902069666,-69.42240361454252
,Aragua,10.500421993888803,-67.58889066560943
,Barinas,7.934135291957947,-69.88838621941385
,Bolívar,6.792936108039368,-61.16574636449062
,Carabobo,10.484030436514047,-67.99291432613059
,Cojedes,9.54697574003181,-68.18131669733823
,Delta Amacuro,9.189025405852465,-60.831528856165086
VE.DP,Dependencias Federales,11.8206983421428,-66.60514498535332
,Distrito Capital,10.475324671597953,-66.96900981385895
,Falcón,11.446524446052274,-69.79374792143668
,Guárico,8.914736812534613,-66.33713265586196
,Lara,9.957148664031756,-69.56594993029395
,Mérida,9.045965268940424,-71.20874311861148
,Miranda,10.417636229373104,-66.04569665379208
,Monagas,9.986523870805845,-62.43263678830614
,Nueva Esparta,10.959865587420778,-63.989721259987874
,Portuguesa,9.320799847514902,-69.22045075976088
,Sucre,10.578467886396428,-63.48944961782893
,Táchira,7.957216668685872,-71.99730771672714
,Trujillo,9.49003127771709,-71.06818720655711
,Vargas,10.60763909867903,-66.9323548191219
,Yaracuy,10.588889604976206,-68.33567287146565
,Zulia,10.376387343226892,-71.63958327632338
