id,name,lon,lat
VNM-486,Tinh Kon Tum,107.8853,14.66267
VNM-4835,Dak Nong,107.6864,12.19352
VNM-477,Tinh Dak Lak,108.1841,12.81316
VNM-478,Tinh Gia Lai,108.2327,13.79246
VNM-484,Tinh Binh Phuoc,106.907,11.74833
VNM-444,Tinh Tay Ninh,106.1517,11.39865
VNM-503,Tinh Long An,106.1879,10.72989
VNM-500,Tinh Dong Thap,105.5995,10.65009
VNM-498,Tinh An Giang,105.1837,10.51894
VNM-502,Tinh Kien Giang,104.9605,9.996934
VNM-450,Huyen Dien Bien,102.9663,21.78727
VNM-455,Tinh Son La,104.0885,21.18648
VNM-456,Tinh Thanh Hoa,105.3316,20.04918
VNM-475,Tinh Nghe An,104.9315,19.2387
VNM-474,Tinh Ha Tinh,105.7227,18.28829
VNM-476,Tinh Quang Binh,106.279,17.52809
VNM-489,Tinh Quang Tri,106.9328,16.73548
VNM-490,Tinh Thua Thien-Hue,107.5012,16.33208
VNM-487,Tinh Quang Nam,107.943,15.62236
VNM-512,Tinh Ha Giang,104.9846,22.75948
VNM-511,Tinh Cao Bang,106.0706,22.73427
VNM-5483,Tinh Lao Cai,104.061,22.29367
VNM-453,Tinh Lai Chau,103.1742,22.39448
VNM-454,Tinh Lang Son,106.6096,21.83712
VNM-429,Tinh Quang Ninh,107.2454,21.241
VNM-508,Tinh Soc Trang,105.931,9.532656
VNM-4834,Tinh Tien Giang,106.2951,10.40687
VNM-495,Tinh Ba Ria-Vung Tau,107.2988,10.58723
VNM-501,Thanh pho Ho Chi Minh,106.6835,10.77705
VNM-479,Tinh Khanh Hoa,109.0392,12.34397
VNM-507,Tinh Ca Mau,105.0562,9.059544
VNM-506,Tinh Bac Lieu,105.5082,9.326484
VNM-505,Hau Giang,105.6358,9.847821
VNM-510,Tinh Vinh Long,105.9897,10.09938
VNM-509,Tinh Tra Vinh,106.313,9.79159
VNM-504,Tinh Ben Tre,106.4567,10.12589
VNM-497,Tinh Dong Nai,107.2041,11.06336
VNM-496,Tinh Binh Thuan,108.0693,11.1096
VNM-481,Tinh Ninh Thuan,108.8776,11.71861
VNM-482,Tinh Phu Yen,109.0613,13.16011
VNM-485,Tinh Binh Dinh,108.9496,14.11908
VNM-488,Tinh Quang Ngai,108.6785,15.02055
VNM-491,Thanh Pho Da Nang,108.0865,16.10242
VNM-466,Tinh Ninh Binh,105.8993,20.23311
VNM-468,Tinh Nam Dinh,106.2127,20.27022
VNM-471,Tinh Thai Binh,106.3821,20.50987
VNM-4600,Thanh Pho Hai Phong,106.6115,20.791
VNM-459,Tinh Hoa Binh,105.3422,20.68853
VNM-457,Tinh Tuyen Quang,105.2774,22.09716
VNM-458,Tinh Yen Bai,104.5833,21.77301
VNM-464,Tinh Vinh Phuc,105.5842,21.3344
VNM-469,Tinh Phu Tho,105.1186,21.31271
VNM-462,Thanh Pho Ha Noi,105.6956,20.98925
VNM-451,Tinh Bac Kan,105.8512,22.24252
VNM-461,Tinh Hung Yen,106.0576,20.82527
VNM-463,Tinh Bac Ninh,106.1176,21.10404
VNM-470,Tinh Bac Giang,106.4959,21.36109
VNM-452,Tinh Thai Nguyen,105.839,21.6825
VNM-460,Tinh Hai Duong,106.3666,20.93526
VNM-467,Tinh Ha Nam,105.9606,20.53758
VNM-483,Tinh Binh Duong,106.648,11.21035
VNM-480,Tinh Lam Dong,108.1043,11.73171
VNM-499,Thanh Pho Can Tho,105.5911,10.23049
