id,name,lon,lat
YEM-3497,Muhafazat Hadramawt,49.29256,16.61214
YEM-332,Muhafazat al Mahrah,51.59861,16.69605
YEM-150,Muhafazat Sa`dah,43.92321,17.07067
YEM-154,Muhafazat Hajjah,43.31168,16.11232
YEM-335,Muhafazat al Jawf,45.64849,16.60504
YEM-151,Muhafazat al Hudaydah,43.20398,14.84071
YEM-158,Muhafazat Ta`izz,43.78677,13.40888
YEM-157,Muhafazat Lahij,44.57221,13.17038
YEM-3510,Muhafazat `Adan,44.85749,12.82606
YEM-3511,Muhafazat Abyan,46.22969,13.71928
YEM-336,Muhafazat Shabwah,46.94683,14.75627
YEM-337,Muhafazat Ma'rib,45.57056,15.47615
YEM-3496,Sanaa,44.40532,15.32985
YEM-3499,Muhafazat Raymah,43.72463,14.65707
YEM-333,Muhafazat al Bayda',45.36853,14.30125
YEM-155,Muhafazat `Amran,43.98298,16.15472
YEM-334,Muhafazat ad Dali`,44.78874,13.8796
YEM-156,Muhafazat Ibb,44.20991,14.06941
YEM-152,Muhafazat al Mahwit,43.61055,15.37262
YEM-153,Muhafazat Dhamar,44.26133,14.60026
YEM-3498,Amanat Al Asimah,44.2382,15.46291
