id,name,lon,lat
ZWE-526,Matabeleland North Province,27.39492,-18.82036
ZWE-530,Matabeleland South Province,28.97658,-21.00601
ZWE-532,Masvingo Province,31.23131,-20.78608
ZWE-533,Mashonaland West Province,29.70827,-17.18284
ZWE-524,Mashonaland Central Province,31.18888,-16.71121
ZWE-528,Mashonaland East Province,31.67866,-18.00439
ZWE-529,Manicaland Province,32.38594,-19.07132
ZWE-527,Midlands Province,29.46069,-18.98143
ZWE-525,Harare Province,31.0617,-17.8635
ZWE-531,Bulawayo Province,28.5486,-20.14025
